rank,team,conference,jkbPower,jkbOffense,jkbDefense,sosPlayedRating,sosPlayedRank,sosRemainingRating,sosRemainingRank,rawPower,rawOffense,rawDefense,games,priorPerformanceSource,sourceClassification,transitionShrinkageApplied,transitionPriorPerformanceWeight,rawYppOffense,rawYppDefenseAllowed,adjustedYppOffense,adjustedYppDefenseAllowed,rawPointsPerPlayOffense,rawPointsPerPlayDefenseAllowed,adjustedPointsPerPlayOffense,adjustedPointsPerPlayDefenseAllowed,standardizedYppOffense,standardizedYppDefense,standardizedPointsPerPlayOffense,standardizedPointsPerPlayDefense,returningProduction,standardizedReturningProduction,sosProvenance
17,San Diego State,pac-12,91.73188405797102,75.91304347826087,96.8623188405797,,,76.76811594202898,52,0.9971469907329263,0.22499963929729638,1.7692943421685563,12,prior-fbs-opponent-adjusted,fbs,false,,5.553878232229905,4.464726625981542,5.577951275413837,4.481156632935733,0.4035401665055743,0.23063984680753766,0.4056705220376858,0.23297407292196287,-0.09852469947200211,1.7325044104778424,0.1274075777669403,1.8060842738592702,98.7,2.120023440645742,provisional-pac-12-week-13-flex-unassigned
18,Texas,sec,91.30434782608695,88.73913043478261,93.86956521739131,,,97.28985507246377,4,0.9940175444004752,0.7381622921392992,1.2498727966616512,13,prior-fbs-opponent-adjusted,fbs,false,,5.997656706221625,4.8619606736733925,6.043241789763542,4.804372949728807,0.4675535249343034,0.28864544011701776,0.4725012610508515,0.282738260929284,0.5594046189107538,1.252657415739238,0.8372126515461934,1.2470881775840645,72.1,1.0968452043367287,complete-current-cfbd-schedule
19,Ole Miss,sec,90.8768115942029,93.86956521739131,83.18115942028986,,,93.86956521739131,12,0.9293378599265445,1.2725268450805338,0.5861488747725552,14,prior-fbs-opponent-adjusted,fbs,false,,6.66312537273234,5.371090265899987,6.728224469272114,5.349454294474011,0.5006807846595079,0.3309340025296059,0.5106562704580478,0.3288723884573772,1.5279826868796018,0.4434295656133614,1.2424546055815633,0.728868183931749,50.3,0.2583006347300944,complete-current-cfbd-schedule
20,SMU,acc,90.44927536231884,90.44927536231884,87.8840579710145,,,63.94202898550725,82,0.9270922551769352,0.8904667530654645,0.9637177572884057,12,prior-fbs-opponent-adjusted,fbs,false,,6.313470626140417,5.2783832798981445,6.34048248647069,5.273451448279777,0.47609532796364906,0.2725514381161934,0.4770279762843468,0.2716917862583609,0.9797084139568901,0.5562634030252012,0.8852906092006166,1.3711721115516102,56.89999999999999,0.5121719264458643,complete-current-cfbd-schedule
21,Texas A&M,sec,90.02173913043478,92.58695652173913,83.6086956521739,,,92.58695652173913,15,0.8862792996067218,1.1615773177303588,0.6109812814830848,12,prior-fbs-opponent-adjusted,fbs,false,,6.46517052847783,5.264045706994467,6.543749103991406,5.183265657630488,0.4834195355862367,0.35799633123509705,0.4938941249671648,0.34641539881243893,1.2671311380205483,0.6901532420053651,1.0644249130696948,0.5318093209608045,72.8,1.1237709473974924,complete-current-cfbd-schedule
22,Oklahoma,sec,89.59420289855072,65.22463768115942,97.71739130434783,,,93.01449275362319,14,0.8742138865508469,-0.1682192654576936,1.9166470385593872,12,prior-fbs-opponent-adjusted,fbs,false,,5.14256747150687,4.263180417593327,5.2386507444397,4.224880758502068,0.3858127476798923,0.24932163809088123,0.3971407882236374,0.24060895069683555,-0.5783018713378807,2.112971613962902,0.03681381165573122,1.7203224631558727,63.2,0.7545036139927361,complete-current-cfbd-schedule
23,Michigan,big-ten,89.16666666666667,84.46376811594203,90.44927536231884,,,86.17391304347827,30,0.8537828795176963,0.6100531574874956,1.0975126015478969,13,prior-fbs-opponent-adjusted,fbs,false,,6.123705468298449,4.900099011402586,6.199911699217807,4.873973409106385,0.4156442982243218,0.3047828367699786,0.42717265137685034,0.300666984209443,0.7809387434187414,1.149328562802217,0.3557803404710914,1.0456966402935766,69.19999999999999,0.9852956973707084,complete-current-cfbd-schedule
24,Georgia,sec,88.73913043478261,82.32608695652173,93.44202898550725,,,96.8623188405797,5,0.8252859224215263,0.4445631295455378,1.2060087152975147,13,prior-fbs-opponent-adjusted,fbs,false,,5.667079678712214,4.9238724802336655,5.6953802876032755,4.88112031770645,0.4538692496156323,0.28703252793130685,0.46012030692968503,0.28040484798688536,0.06752207682245333,1.1387182611706683,0.7057153168885465,1.2732991694243612,68.7,0.9660630237558778,complete-current-cfbd-schedule
25,Iowa,big-ten,88.31159420289855,75.05797101449275,94.29710144927536,,,75.48550724637681,55,0.8131030507592408,0.2040124751322347,1.422193626386247,12,prior-fbs-opponent-adjusted,fbs,false,,5.312920563683143,4.790892878098071,5.314458251387169,4.740500313492517,0.485084242696908,0.27007049550022727,0.48826986914792675,0.2604985582232724,-0.4711086665850359,1.3474827415399693,1.0046900459161054,1.4969045112325243,34.2,-0.36099145566746577,complete-current-cfbd-schedule
26,Arizona,big-12,87.8840579710145,81.47101449275362,91.73188405797102,,,91.30434782608695,18,0.8041438979869091,0.42270679922495036,1.1855809967488677,12,prior-fbs-opponent-adjusted,fbs,false,,5.725872973877184,4.76120652016077,5.725618892622474,4.71818489843848,0.451293946122105,0.3098429754478682,0.4545797679296849,0.3055763898023484,0.11028001874381757,1.380612210238419,0.6468696008042583,0.9905497832593162,64.9,0.8198947042831619,complete-current-cfbd-schedule
27,Louisville,acc,87.45652173913044,79.76086956521739,88.31159420289855,,,77.6231884057971,50,0.6826770313615543,0.36483874900359026,1.0005153137195184,12,prior-fbs-opponent-adjusted,fbs,false,,5.815245214855119,4.857408778012318,5.887065036936994,4.837092815728922,0.4363005182513097,0.3272197244979964,0.44520271947060364,0.3228115357646636,0.33856782691637566,1.2040814975300815,0.5472765591648624,0.7969491299089555,34.8,-0.3379122473296687,complete-current-cfbd-schedule
28,Florida State,acc,87.02898550724638,85.7463768115942,85.31884057971014,,,88.73913043478261,24,0.6674380279937899,0.650711625549385,0.6841644304381949,11,prior-fbs-opponent-adjusted,fbs,false,,6.394074197720491,5.08564250437749,6.4550442396180605,5.090728715770949,0.4170358371442368,0.34815564548330097,0.4251325903331631,0.34561543261524064,1.1417008333947243,0.8275336004419988,0.33411298049556654,0.5407952604343911,40.1,-0.13404590701245922,complete-current-cfbd-schedule
29,BYU,big-12,86.60144927536231,83.18115942028986,86.60144927536231,,,87.8840579710145,25,0.6633556319672235,0.48958327595174667,0.8371279879827003,13,prior-fbs-opponent-adjusted,fbs,false,,5.782025737504014,5.280788865442939,5.851324850953458,5.236764765344042,0.4271992520068006,0.30537901339771917,0.4408910544652133,0.2990796043677305,0.28803054864006095,0.6107284582807834,0.5014826364512501,1.063527517684617,78.5,1.3430234266065666,complete-current-cfbd-schedule
30,Missouri,sec,86.17391304347827,71.21014492753623,92.15942028985508,,,87.45652173913044,27,0.6305574101087384,0.07539638752206951,1.1857184326954073,12,prior-fbs-opponent-adjusted,fbs,false,,5.721094702730436,4.574191822521738,5.757836710481299,4.54568548987643,0.3925064227240019,0.33402216328076806,0.39605276437926484,0.3283503663010405,0.1558366039092425,1.636704859316153,0.025257978867823334,0.7347320060746616,42,-0.06096174727610121,complete-current-cfbd-schedule
31,Texas State,pac-12,85.7463768115942,95.57971014492753,61.80434782608695,,,84.46376811594203,34,0.5756183354275597,1.5091224473765876,-0.35788577652146825,12,prior-fbs-opponent-adjusted,fbs,false,,6.863484189956715,5.709576830515123,6.847691328453307,5.734229894559515,0.5283558289453145,0.44468212572265214,0.5235703667251098,0.44610226736548514,1.6969110161842833,-0.12780835078173297,1.379614409423153,-0.5879632022612036,76,1.2468600585324114,provisional-pac-12-week-13-flex-unassigned
32,Kansas State,big-12,85.31884057971014,87.02898550724638,78.47826086956522,,,75.05797101449275,56,0.5731234740752528,0.699051717787774,0.44719523036273157,11,prior-fbs-opponent-adjusted,fbs,false,,5.906648744435595,5.400460499689859,5.95051863999528,5.38117512226922,0.4696248389706538,0.3532900394880831,0.47722620617593825,0.349420471679371,0.4282923850613348,0.3963368196803129,0.8873959964057262,0.4980536410451502,71.39999999999999,1.0699194612759653,complete-current-cfbd-schedule
