gsis_id,pfr_id,espn_id,display_name,position,position_group,status
00-0029101,CollCa00,15277,Cameron Collins,LB,LB,ACT
00-0034444,CollCa01,3116695,Cayson Collins,LB,LB,DEV
00-0003271,CollCe00,1887,Cecil Collins,RB,RB,EXE
00-0039806,CollCh00,4373268,Chris Collins,LB,LB,RES
COL522954,CollCl20,,Clarence Collins,WR,WR,ACT
00-0003305,CollMo20,1456,Mo Collins,G,OL,RES
COL530644,CollLa20,,Larry Collins,RB,RB,ACT
COL533208,CollDw00,,Dwight Collins,WR,WR,ACT
COL538335,CollKi20,,Kirk Collins,CB,DB,ACT
COL543462,CollFa20,,Fabray Collins,LB,LB,ACT
COL563970,CollGe20,,George Collins,G,OL,ACT
00-0003284,CollGe21,,Gerald Collins,LB,LB,RES
COL574224,CollGl20,,Glen Collins,DE,DL,ACT
COL584478,CollGr20,,Greg Collins,LB,LB,ACT
00-0031552,CollJa02,2577292,Jalen Collins,CB,DB,CUT
COL604986,CollJi01,,Jim Collins,ILB,LB,ACT
00-0030421,CollJa00,15830,Jamie Collins,OLB,LB,DEV
00-0029971,CollJa01,16052,Jasper Collins,WR,WR,CUT
00-0026072,CollJe01,11517,Jed Collins,FB,RB,ACT
00-0023577,CollJe00,8558,Jerome Collins,TE,TE,ACT
00-0003292,CollKe00,734,Kerry Collins,QB,QB,RES
00-0031534,CollLa01,2577302,La'el Collins,OT,OL,DEV
00-0032262,CollLa00,2979841,Landon Collins,LB,LB,ACT
00-0033131,CollMa00,3040471,Maliek Collins,DT,DL,ACT
00-0003301,CollMa20,6518,Mark Collins,DB,DB,ACT
00-0027263,CollNa20,13550,Nate Collins,DT,DL,RES
00-0023486,CollNi20,8465,Nick Collins,FS,DB,RES
00-0036554,CollNi00,4258173,Nico Collins,WR,WR,ACT
COL656256,CollPa20,,Patrick Collins,RB,RB,ACT
00-0003309,CollRo20,,Roosevelt Collins,LB,LB,CUT
00-0003310,CollRy00,2033,Ryan Collins,TE,TE,RES
00-0003313,CollSh20,7349,Shane Collins,DE,DL,ACT
00-0003314,CollSh00,6578,Shawn Collins,WR,WR,ACT
00-0003315,CollTo00,735,Todd Collins,QB,QB,ACT
00-0003316,CollTo20,364,Todd F. Collins,OLB,LB,ACT
COL697272,CollTr20,,Trent Collins,DB,DB,ACT
00-0036933,CollZa00,4244606,Zaven Collins,LB,LB,ACT
COL717780,CollCr00,,Cris Collinsworth,WR,WR,ACT
00-0003319,CollFe20,485,Ferric Collons,DE,DL,ACT
00-0003320,ColmDo20,1127,Doug Colman,LB,LB,CUT
COL728034,ColmWa20,,Wayne Colman,LB,LB,ACT
00-0021160,ColoMa20,3557,Marc Colombo,OT,OL,ACT
00-0003322,ColoHa20,7072,Harry Colon,DB,DB,RES
00-0035992,ColoTr01,4035112,Trystan Colon,C,OL,ACT
00-0024193,ColoWi20,9717,Willie Colon,G,OL,RES
COL748542,ColoTo20,,Tony Colorito,NT,DL,ACT
00-0026516,ColqBr00,12773,Britton Colquitt,P,SPEC,ACT
00-0023534,ColqDu20,8513,Dustin Colquitt,P,SPEC,ACT
COL769050,ColqJi20,,Jimmy Colquitt,P,SPEC,ACT
COL774177,ColqCr20,,Craig Colquitt,P,SPEC,ACT
00-0039346,ColsJu00,4431212,Junior Colson,LB,LB,ACT
00-0024466,ColsMa00,9838,Marques Colston,WR,WR,ACT
00-0003332,ColsTi20,8043,Tim Colston,DE,DL,CUT
COL779304,ColtJe20,,Jeff Colter,DB,DB,ACT
00-0030932,ColtKa00,17055,Kain Colter,WR,WR,DEV
COL799812,ColtGe20,,George Colton,OT,OL,ACT
00-0031259,ColvAa00,16900,Aaron Colvin,CB,DB,DEV
00-0003338,ColvRo20,1864,Rosevelt Colvin,LB,LB,ACT
COL820320,ColzNe20,,Neal Colzie,S,DB,ACT
00-0040326,CombBr00,4572704,Branson Combs,LB,LB,ACT
00-0019634,CombCh21,2304,Chris Combs,DT,DL,ACT
