season,week,game_id,kickoff_utc,team,opponent,venue,team_spread,closing_total,implied_team_total,team_total_margin,team_points,team_sack_rate,team_sacks,pass_plays,team_pass_epa_db,team_pass_epa,team_pass_success_rate,team_explosive_pass_rate,actual_hits_allowed,historical_pass_rush_edge_z,offense_prior_games,defense_prior_games,protection_z,pass_rush_z,protection_percentile,pass_rush_percentile,protection_quintile,rush_quintile,protection_quintile_label,rush_quintile_label,risk_group,component_interaction,additive_matchup_z,protection_raw_prior4,protection_raw_prior8,protection_raw_prior16,protection_raw_season_to_date,protection_raw_ewma,pass_rush_raw_prior4,pass_rush_raw_prior8,pass_rush_raw_prior16,pass_rush_raw_season_to_date,pass_rush_raw_ewma
2024,1,2024_01_LV_LAC,2024-09-08T20:05:00.000Z,lac,lv,home,-3,41,22,0,22,0.0344827586207,1,29,-0.162353886091,-4.70826269664,0.413793103448,0.0384615384615,5,-0.240939032357,8,8,-0.410335059291,0.0695958120265,0.421875,0.515625,2,2,average,average,other,-0.0285576016543,-0.240939032357,0.122905027933,0.129476584022,0.136427566807,,0.131579498104,0.174698795181,0.147058823529,0.134069400631,,0.157566687285
2024,1,2024_01_LV_LAC,2024-09-08T20:05:00.000Z,lv,lac,away,3,41,19,-9,10,0.0975609756098,4,41,-0.0947474814881,-3.88464674101,0.414634146341,0.121212121212,6,-0.260879570285,8,8,-0.0430685996327,-0.32587082681,0.59375,0.359375,2,1,average,poor,other,0.0140348001719,-0.260879570285,0.136054421769,0.142857142857,0.13255033557,,0.136956540529,0.131386861314,0.134020618557,0.131901840491,,0.135128447732
2024,1,2024_01_DAL_CLE,2024-09-08T20:25:00.000Z,cle,dal,home,-2.5,42,22.25,-5.25,17,0.1,6,60,-0.364575814706,-21.8745488823,0.233333333333,0.0444444444444,17,0.20314962863,8,8,-0.453728937703,0.741025897703,0.359375,0.796875,1,3,good,good,other,-0.336224893375,0.20314962863,0.159509202454,0.127840909091,0.156609195402,,0.148483843415,0.1796875,0.169491525424,0.148464163823,,0.162437449096
2024,1,2024_01_DAL_CLE,2024-09-08T20:25:00.000Z,dal,cle,away,2.5,42,19.75,13.25,33,0.0833333333333,3,36,-0.166445618306,-5.99204225901,0.361111111111,0.0625,4,-0.83771069375,8,8,-0.688644853983,-0.496056970464,0.234375,0.296875,1,1,good,poor,other,0.341607079992,-0.83771069375,0.153846153846,0.119318181818,0.127142857143,,0.123404128844,0.119791666667,0.12893982808,0.160453808752,,0.137863837341
2024,1,2024_01_WAS_TB,2024-09-08T20:25:00.000Z,tb,wsh,home,-4,42,23,14,37,0.0277777777778,1,36,0.689077574676,24.8067926883,0.666666666667,0.133333333333,4,-1.45370744755,8,8,-0.609584191912,-1.44626859614,0.265625,0.109375,1,0,good,very poor rush,other,0.881622473466,-1.45370744755,0.111842105263,0.122186495177,0.120124804992,,0.11932899987,0.066265060241,0.0977917981073,0.118361153263,,0.0853930626984
2024,1,2024_01_WAS_TB,2024-09-08T20:25:00.000Z,wsh,tb,away,4,42,19,1,20,0.0571428571429,2,35,0.266290437049,9.32016529672,0.6,0.0833333333333,2,-0.974339974644,8,8,0.173656943125,-1.55158174963,0.671875,0.078125,3,0,poor,very poor rush,other,-0.269442943649,-0.974339974644,0.140939597315,0.150602409639,0.174211248285,,0.162919044432,0.0955414012739,0.0943396226415,0.113122171946,,0.102596106876
2024,1,2024_01_LA_DET,2024-09-09T00:20:00.000Z,det,lar,home,-5,54,29.5,-3.5,26,0.0645161290323,2,31,-0.103191769758,-3.19894486251,0.354838709677,0.107142857143,5,0.0809632786303,8,8,0.717373629787,-0.602874263094,0.828125,0.265625,4,1,very poor,poor,other,-0.432486098421,0.0809632786303,0.134228187919,0.170967741935,0.157142857143,,0.150789409554,0.127906976744,0.125,0.124076809453,,0.128153633034
2024,1,2024_01_LA_DET,2024-09-09T00:20:00.000Z,lar,det,away,5,54,24.5,-4.5,20,0.0377358490566,2,53,0.160374864866,8.49986783792,0.471698113208,0.0816326530612,12,0.824049417062,8,8,-0.571365743577,1.73674760525,0.296875,0.953125,1,4,good,elite rush,other,-0.992318086879,0.824049417062,0.136054421769,0.124183006536,0.139020537125,,0.133257881855,0.236994219653,0.203174603175,0.16641221374,,0.202904918092
2024,1,2024_01_NYJ_SF,2024-09-10T00:15:00.000Z,nyj,sf,away,3.5,43,19.75,-0.75,19,0.0322580645161,1,31,0.0738235763969,2.2885308683,0.58064516129,0.0689655172414,4,0.698522616379,8,8,0.916070928959,0.0717892287495,0.859375,0.546875,4,2,very poor,average,other,0.0657640254698,0.698522616379,0.165714285714,0.178470254958,0.173789173789,,0.16941127418,0.108974358974,0.147826086957,0.163294797688,,0.146699704851
2024,1,2024_01_NYJ_SF,2024-09-10T00:15:00.000Z,sf,nyj,home,-3.5,43,23.25,8.75,32,0.0857142857143,3,35,0.197884429934,6.92595504769,0.514285714286,0.137931034483,4,-0.133933713729,8,8,-0.175015739607,-0.0143951348078,0.453125,0.484375,2,2,average,average,other,0.00251937516513,-0.133933713729,0.111111111111,0.139194139194,0.135940409683,,0.13528250229,0.141843971631,0.144876325088,0.167521367521,,0.162465303483
