window,protection_quintile,protection_label,rush_quintile,rush_label,group,dimension,n,games,small_n_lt_25,mean_team_sack_rate,median_team_sack_rate,mean_team_sacks,median_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,mean_team_pass_success_rate,median_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,mean_team_points,median_team_points,mean_team_total_margin,median_team_total_margin
2022,1,elite protection,3,average,,matrix,10,9,True,0.0609914108557,0.0526675786594,2.2,2,0.106089993903,0.0942789357381,0.472806143692,0.468057366362,0.0980498979381,0.0995065789475,21.2,21,-1.125,-4
2022,1,elite protection,4,good,,matrix,21,20,True,0.0582615513474,0.0576923076923,2.42857142857,2,0.022166573048,0.0226556337572,0.4467163757,0.454545454545,0.0884028657501,0.0769230769231,23.8571428571,24,0.5,0.5
2022,1,elite protection,5,elite rush,,matrix,13,13,True,0.058574959238,0.0588235294118,2.53846153846,3,0.00519723329554,-0.0374145317129,0.444817592954,0.422222222222,0.0696621538039,0.0576923076923,18.6923076923,19,-3.34615384615,-4.5
2022,2,good,1,very poor rush,,matrix,13,13,True,0.0510296099098,0.0588235294118,1.61538461538,2,0.112988546402,0.124644776055,0.480508974871,0.511111111111,0.100762405025,0.111111111111,26.9230769231,27,1.71153846154,1
2022,2,good,2,poor,,matrix,23,22,True,0.0439278271835,0.0384615384615,1.65217391304,2,0.0638634216001,0.0982825842684,0.460239313244,0.461538461538,0.0985944479443,0.0967741935484,20.5217391304,22,-2.25,-3.25
2022,2,good,3,average,,matrix,18,18,True,0.068169747737,0.0555555555556,2.94444444444,2,0.0761646707421,0.0950385854304,0.480227419522,0.481071428571,0.0769442061712,0.0690476190476,22.1111111111,22,-1.70833333333,-0.75
2022,2,good,4,good,,matrix,23,23,True,0.051703764307,0.0434782608696,2.13043478261,2,0.103336363646,0.119488908285,0.485045329642,0.515151515152,0.0949795228853,0.0769230769231,23.9130434783,24,1.26086956522,-1
2022,2,good,5,elite rush,,matrix,14,14,True,0.073088352137,0.0560796645703,2.64285714286,2,-0.00191891002446,-0.0721246190492,0.435935567039,0.43756936737,0.0960225088105,0.0754985754986,20.0714285714,20,-2.01785714286,-1.5
2022,3,average,1,very poor rush,,matrix,20,20,True,0.0593874452491,0.0588744588745,2.2,2,0.0996977865911,0.0644724364725,0.465363285996,0.444444444444,0.10551834866,0.105555555556,25.95,26.5,3.425,2.625
2022,3,average,2,poor,,matrix,13,12,True,0.0471013954062,0.0277777777778,1.76923076923,1,0.174116866359,0.230988742423,0.514800626828,0.571428571429,0.0883323162969,0.08,25.5384615385,27,1.30769230769,-0.5
2022,3,average,3,average,,matrix,16,16,True,0.0564678034125,0.0514172709295,2.0625,2,0.0558874425149,0.0872802916234,0.437442108092,0.416619398752,0.101818616993,0.113247863248,20.0625,20,-1.3125,-1.75
2022,3,average,4,good,,matrix,14,14,True,0.0399551081694,0.0416666666667,1.64285714286,2,0.0883472030074,0.145570718518,0.46986721825,0.457142857143,0.0968873952231,0.0934782608695,27.5,28.5,5.21428571429,5.75
2022,3,average,5,elite rush,,matrix,14,14,True,0.0671738188758,0.086974789916,2.42857142857,2.5,-0.000994466248886,0.0256801443975,0.440587779363,0.430952380952,0.0772786653614,0.08,22.5,21,0.553571428571,-1
2022,4,poor,1,very poor rush,,matrix,12,12,True,0.0681558493766,0.0722996515679,2.58333333333,3,0.0792915684784,0.0380527321036,0.503062755036,0.5,0.074405221751,0.0651260504202,21.1666666667,22,-0.8125,0.875
2022,4,poor,2,poor,,matrix,20,18,True,0.058287206654,0.0604863221885,2.25,2.5,0.0560776097055,0.0461705835043,0.464376940087,0.463063063063,0.106566785304,0.098157051282,24,23.5,2.3875,1
2022,4,poor,3,average,,matrix,20,20,True,0.0742039558116,0.0689746300212,3.1,3,-0.0324562527071,-0.0278550070852,0.426697980114,0.420807453416,0.0809170475132,0.0744827586207,19.55,18.5,-1.6875,-2.875
2022,4,poor,4,good,,matrix,19,19,True,0.0854415820825,0.0810810810811,3.21052631579,3,-0.0251619993829,-0.0683404977257,0.416486377862,0.421052631579,0.0782165544805,0.0645161290323,19.2105263158,17,-1,-2.75
2022,4,poor,5,elite rush,,matrix,18,17,True,0.071394337767,0.0601045296168,2.61111111111,2,-0.0232543318486,0.00171963791595,0.440512728876,0.436141304348,0.0771707125996,0.0638945233266,18.7222222222,20,-0.541666666667,0.75
2022,5,very poor,1,very poor rush,,matrix,20,19,True,0.0607107381651,0.0572580645162,2.25,2,0.00040220459534,0.0437173961566,0.469352533984,0.454166666667,0.080886658338,0.0741758241759,21.15,17.5,0.3625,-4
2022,5,very poor,2,poor,,matrix,18,18,True,0.0985755129039,0.0860314523589,3.55555555556,3,-0.133040715617,-0.143446999372,0.41266746356,0.396825396825,0.0841025611273,0.0813186813187,19.2777777778,17,-1.34722222222,-2.5
2022,5,very poor,3,average,,matrix,16,16,True,0.082230506924,0.0875959079284,3,2.5,0.00872462473678,0.0581833183761,0.467342765517,0.476630434783,0.0787566466485,0.0748251748252,20.375,17,0.640625,-2.625
2022,5,very poor,4,good,,matrix,12,12,True,0.0613695293191,0.0629011553273,2.25,2.5,0.022542312779,0.0172244908883,0.450385868786,0.447368421053,0.075457249041,0.0765107212476,21.8333333333,21.5,2.9375,2
2022,5,very poor,5,elite rush,,matrix,14,14,True,0.0880464863804,0.0813186813187,3.42857142857,3.5,-0.101272572233,-0.181025197856,0.438691011874,0.411111111111,0.0737490124696,0.0673400673401,16.7857142857,15,-2.83928571429,-5.625
2023,1,elite protection,1,very poor rush,,matrix,19,19,True,0.0599796859393,0.0555555555556,2.26315789474,2,0.0421303018098,-0.00584906474953,0.447521182889,0.470588235294,0.0785027714028,0.075,26.8421052632,27,1.36842105263,1
2023,1,elite protection,2,poor,,matrix,23,23,True,0.0454741183976,0.0434782608696,1.78260869565,2,0.108277672836,0.0778938181623,0.477762218446,0.490566037736,0.0864558827026,0.0909090909091,23.652173913,24,-0.0652173913043,-1
2023,1,elite protection,3,average,,matrix,16,16,True,0.0614147406207,0.0655913978495,2.4375,2.5,0.107848482817,0.090542051009,0.477894988687,0.492656058751,0.0963618964059,0.0822072072072,24.375,22.5,1.140625,-0.75
