team,season,week,game_id,pregame_prior8,pregame_percentile,pregame_prior4,pregame_prior16,pregame_season_to_date,pregame_ewma,prior4_at_game,next4_from_game,prior8_at_game,next8_from_game
det,2023,8,2023_08_LV_DET,0.14375,0.515625,0.141176470588,0.133333333333,0.152482269504,0.138190190814,0.141176470588,0.161676646707,,0.15873015873
det,2023,10,2023_10_DET_LAC,0.14953271028,0.609375,0.129943502825,0.135220125786,0.14953271028,0.136992428133,0.129943502825,0.167741935484,0.14953271028,0.167202572347
det,2023,11,2023_11_CHI_DET,0.14375,0.546875,0.0989010989011,0.132605304212,0.140449438202,0.125543933936,0.0989010989011,0.204968944099,0.14375,0.170967741935
det,2023,12,2023_12_GB_DET,0.15,0.59375,0.132947976879,0.131455399061,0.146835443038,0.137643610503,0.132947976879,0.201257861635,0.15,
det,2023,13,2023_13_DET_NO,0.151335311573,0.609375,0.161676646707,0.140432098765,0.155902004454,0.156199343134,0.161676646707,0.155405405405,0.151335311573,
det,2023,14,2023_14_DET_CHI,0.147590361446,0.640625,0.167741935484,0.145110410095,0.155462184874,0.156179660194,0.167741935484,0.166666666667,0.147590361446,
det,2023,15,2023_15_DEN_DET,0.148688046647,0.671875,0.204968944099,0.150706436421,0.160541586074,0.167426918059,0.204968944099,0.134228187919,0.148688046647,
det,2023,16,2023_16_DET_MIN,0.165662650602,0.796875,0.201257861635,0.153846153846,0.162454873646,0.171260790091,0.201257861635,,0.165662650602,
det,2023,17,2023_17_DET_DAL,0.15873015873,0.765625,0.155405405405,0.151181102362,0.155778894472,0.1534559397,0.155405405405,,0.15873015873,
det,2023,18,2023_18_MIN_DET,0.167202572347,0.796875,0.166666666667,0.158227848101,0.158227848101,0.16125997101,0.166666666667,,0.167202572347,
det,2024,1,2024_01_LA_DET,0.170967741935,0.828125,0.134228187919,0.157142857143,,0.150789409554,,0.151079136691,,0.176
det,2024,2,2024_02_TB_DET,0.165562913907,0.78125,0.125874125874,0.157556270096,,0.152242489646,,0.161971830986,,0.174603174603
det,2024,3,2024_03_DET_ARI,0.156862745098,0.671875,0.158227848101,0.153965785381,,0.156244414457,,0.176991150442,,0.155172413793
det,2024,4,2024_04_SEA_DET,0.150819672131,0.609375,0.134228187919,0.149136577708,,0.146826193644,,0.207207207207,,0.174796747967
det,2024,6,2024_06_DET_DAL,0.142361111111,0.546875,0.151079136691,0.145800316957,0.151079136691,0.148308294287,0.151079136691,0.207207207207,,0.162790697674
det,2024,7,2024_07_DET_MIN,0.143859649123,0.578125,0.161971830986,0.155591572123,0.161849710983,0.158899175798,0.161971830986,0.190909090909,,0.14126394052
det,2024,8,2024_08_TEN_DET,0.166051660517,0.765625,0.176991150442,0.162116040956,0.173267326733,0.171269353764,0.176991150442,0.134453781513,,0.134868421053
det,2024,9,2024_09_DET_GB,0.165384615385,0.734375,0.207207207207,0.166374781086,0.176991150442,0.17648499942,0.207207207207,0.148148148148,,0.124600638978
det,2024,10,2024_10_DET_HOU,0.176,0.796875,0.207207207207,0.173214285714,0.176,0.176624558224,0.207207207207,0.12925170068,0.176,0.11963190184
