window,contrast,outcome,n_a,n_b,difference,ci_low,ci_high
2022,very poor protection: average vs very poor rush,team_total_margin,16,20,0.278125,-5.24446486928,6.8917293757
2022,very poor protection: elite vs average rush,team_sack_rate,14,16,0.00581597945642,-0.0263643594633,0.03642011852
2022,very poor protection: elite vs average rush,team_pass_epa_db,14,16,-0.10999719697,-0.272445724498,0.0835567815808
2022,very poor protection: elite vs average rush,team_pass_success_rate,14,16,-0.0286517536432,-0.106273866056,0.0505366569013
2022,very poor protection: elite vs average rush,team_total_margin,14,16,-3.47991071429,-9.26743697479,2.59512101716
2022,elite rush: very poor vs elite protection,team_sack_rate,14,13,0.0294715271424,-0.00212900262893,0.0592993588741
2022,elite rush: very poor vs elite protection,team_pass_epa_db,14,13,-0.106469805529,-0.238550549103,0.0517620043506
2022,elite rush: very poor vs elite protection,team_pass_success_rate,14,13,-0.00612658107978,-0.0611767249676,0.0486648890736
2022,elite rush: very poor vs elite protection,team_total_margin,14,13,0.506868131868,-5.81136176734,7.09268543956
2022,elite rush: average vs elite protection,team_sack_rate,14,13,0.00859885963781,-0.0318263534085,0.04311016806
2022,elite rush: average vs elite protection,team_pass_epa_db,14,13,-0.00619169954442,-0.140699118408,0.12778650514
2022,elite rush: average vs elite protection,team_pass_success_rate,14,13,-0.00422981359121,-0.0551896073883,0.0478045094027
2022,elite rush: average vs elite protection,team_total_margin,14,13,3.89972527473,-2.73166666667,9.9325206044
2022,elite rush: very poor vs average protection,team_sack_rate,14,14,0.0208726675046,-0.0178256090137,0.0592394314456
2022,elite rush: very poor vs average protection,team_pass_epa_db,14,14,-0.100278105984,-0.247364321757,0.0610408157828
2022,elite rush: very poor vs average protection,team_pass_success_rate,14,14,-0.00189676748857,-0.0597606044899,0.0586532461088
2022,elite rush: very poor vs average protection,team_total_margin,14,14,-3.39285714286,-8.794140625,2.20516098485
2023,very poor protection: elite vs very poor rush,team_sack_rate,17,25,-0.00168207360336,-0.0346875283516,0.0340298401993
2023,very poor protection: elite vs very poor rush,team_pass_epa_db,17,25,-0.0120792461683,-0.180141976898,0.150865753572
2023,very poor protection: elite vs very poor rush,team_pass_success_rate,17,25,0.00616059066768,-0.0429541528676,0.0562537494855
2023,very poor protection: elite vs very poor rush,team_total_margin,17,25,1.84411764706,-4.04848602484,7.95506280788
2023,very poor protection: average vs very poor rush,team_sack_rate,18,25,-0.016250220164,-0.0451009312222,0.0110215441494
2023,very poor protection: average vs very poor rush,team_pass_epa_db,18,25,0.0454435915837,-0.117826760961,0.219298069949
2023,very poor protection: average vs very poor rush,team_pass_success_rate,18,25,0.0425917546193,-0.00732889396089,0.0931575362822
2023,very poor protection: average vs very poor rush,team_total_margin,18,25,0.119444444444,-5.46563828502,5.93921783626
2023,very poor protection: elite vs average rush,team_sack_rate,17,18,0.0145681465606,-0.0163698178114,0.0472107634182
2023,very poor protection: elite vs average rush,team_pass_epa_db,17,18,-0.0575228377519,-0.245466833821,0.114860958383
2023,very poor protection: elite vs average rush,team_pass_success_rate,17,18,-0.0364311639516,-0.0960024670889,0.0192908408475
2023,very poor protection: elite vs average rush,team_total_margin,17,18,1.72467320261,-4.63887429972,7.29270608093
2023,elite rush: very poor vs elite protection,team_sack_rate,17,25,0.0301298345661,8.64823247746e-05,0.0580035014316
2023,elite rush: very poor vs elite protection,team_pass_epa_db,17,25,-0.129030216627,-0.282533767842,0.0145318141675
2023,elite rush: very poor vs elite protection,team_pass_success_rate,17,25,-0.0330606632492,-0.0771820382769,0.0166030039021
2023,elite rush: very poor vs elite protection,team_total_margin,17,25,1.20411764706,-5.23546068219,7.04096623563
2023,elite rush: average vs elite protection,team_sack_rate,17,25,0.00637619755365,-0.0256224774364,0.0395813302554
2023,elite rush: average vs elite protection,team_pass_epa_db,17,25,0.00420191168144,-0.148515359698,0.155685792836
