game_id,season,week,team,opponent,off_epa,off_plays,pass_epa,pass_plays,rush_epa,rush_plays
2026_01_MIA_LV,2026,1,lv,mia,-1.8698029671690994,65,0.8624369039421429,32,-2.7322398711112443,33
2026_01_MIA_LV,2026,1,mia,lv,-13.314724907158208,55,-7.333496432862033,40,-5.98122847429618,15
2026_01_NE_SEA,2026,1,ne,sea,-6.558486723230086,71,5.605358748749495,44,-12.163845471979586,27
2026_01_NE_SEA,2026,1,sea,ne,1.4024340423470083,49,5.4891870568803265,28,-4.0867530145333175,21
2026_01_NO_DET,2026,1,det,no,-2.0940210138208295,77,0.49954563437560595,41,-2.593566648196432,36
2026_01_NO_DET,2026,1,no,det,2.6291083305936604,88,4.355582318511088,65,-1.7264739879174291,23
2026_01_NYJ_TEN,2026,1,nyj,ten,8.093502483025372,64,9.452823350314784,28,-1.3593208672894144,36
2026_01_NYJ_TEN,2026,1,ten,nyj,-7.0530535582296165,50,-6.0927688572922785,40,-0.960284700937337,10
2026_01_SF_LA,2026,1,lar,sf,-13.530783784924994,60,-8.906958484556519,33,-4.623825300368473,27
2026_01_SF_LA,2026,1,sf,lar,12.361808198105013,65,8.397850532267633,37,3.963957665837379,28
2026_01_TB_CIN,2026,1,cin,tb,0.08407268996733047,63,-1.1536468426297857,38,1.2377195325971186,25
2026_01_TB_CIN,2026,1,tb,cin,-4.555934735330263,56,-6.567271418393094,39,2.011336683062831,17
2026_01_WAS_PHI,2026,1,phi,wsh,1.4431364833579812,53,4.607971143894128,34,-3.1648346605361466,19
2026_01_WAS_PHI,2026,1,wsh,phi,5.059256054296831,69,6.406751253080346,40,-1.3474951987835122,29
2026_02_CAR_ATL,2026,2,atl,car,-33.47328783255949,69,-28.31486475809658,41,-5.158423074462918,28
2026_02_CAR_ATL,2026,2,car,atl,2.3054015789265354,65,10.895132269276354,40,-8.589730690349821,25
2026_02_CIN_HOU,2026,2,cin,hou,-6.287366726212153,59,-0.5477255916431851,36,-5.739641134568967,23
2026_02_CIN_HOU,2026,2,hou,cin,-18.862084090732694,79,-6.935452484258679,64,-11.92663160647402,15
2026_02_CLE_TB,2026,2,cle,tb,0.9653423307695679,56,12.295752046536569,36,-11.330409715767003,20
2026_02_CLE_TB,2026,2,tb,cle,-12.960556911233656,65,-13.290704290224326,43,0.3301473789906676,22
2026_02_DET_BUF,2026,2,buf,det,31.160829393949836,71,21.597357321385072,42,9.563472072564762,29
2026_02_DET_BUF,2026,2,det,buf,18.29323129940275,65,23.026259092148393,46,-4.733027792745653,19
2026_02_GB_NYJ,2026,2,gb,nyj,-8.64998620716733,59,2.1037156926154204,38,-10.753701899782751,21
2026_02_GB_NYJ,2026,2,nyj,gb,-6.541859397519169,73,6.350570412265346,49,-12.892429809784515,24
2026_02_IND_KC,2026,2,ind,kc,13.44506891470522,65,7.8338859380164845,35,5.61118297668873,30
2026_02_IND_KC,2026,2,kc,ind,15.711004141067136,80,13.07067220674636,52,2.640331934320773,28
2026_02_JAX_DEN,2026,2,den,jax,7.613765111600431,59,10.26270441816172,33,-2.6489393065612883,26
2026_02_JAX_DEN,2026,2,jax,den,-2.93291794138913,60,-4.431862151539645,36,1.4989442101505157,24
2026_02_LV_LAC,2026,2,lac,lv,-20.186833115634524,67,-2.353668408924739,34,-17.833164706709788,33
2026_02_LV_LAC,2026,2,lv,lac,-5.877446722170653,60,7.589581510401345,33,-13.467028232571995,27
2026_02_MIA_SF,2026,2,mia,sf,-0.9218257881915104,60,4.3829992045915045,31,-5.304824992783013,29
2026_02_MIA_SF,2026,2,sf,mia,19.009368421742685,50,24.6538918595761,27,-5.644523437833415,23
2026_02_MIN_CHI,2026,2,chi,min,-10.056016877693054,73,-1.0833152182378618,44,-8.972701659455193,29
2026_02_MIN_CHI,2026,2,min,chi,-3.775361358238521,52,0.31490254705619336,25,-4.090263905294711,27
2026_02_NO_BAL,2026,2,bal,no,5.646652743621245,57,2.964989128516037,39,2.6816636151052093,18
2026_02_NO_BAL,2026,2,no,bal,8.003170092921488,66,9.674787982960263,42,-1.6716178900387724,24
2026_02_NYG_LA,2026,2,lar,nyg,14.045118584239422,58,16.646664508269197,33,-2.6015459240297765,25
2026_02_NYG_LA,2026,2,nyg,lar,-22.24906675044186,58,-15.829124520709215,35,-6.419942229732639,23
2026_02_PHI_TEN,2026,2,phi,ten,3.1048863528634416,76,7.33485515446988,43,-4.229968801606438,33
