,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RK,PLAYER,POS,TEAM,ADP,BYE,PROJ_PTS,PROJ_AVG,RUSH_ATT,RUSH_YDS,RUSH_TD,REC_TAR,REC_YDS,REC_TD,PASS_ATT,PASS_YDS,PASS_TD
181,Evan McPherson,K,CIN,181.9,6,150.4,8.8,0,0,0,0,0,0,0,0,0
182,Jalen Milroe,RB,IND,182.3,13,124.6,7.3,3,18,0,0,187,4,0,0,0
183,A.J. Barner,TE,SEA,183.2,11,133.4,7.9,10,14,1,0,120,4,0,0,0
184,Tyler Shough,QB,NO,183.8,8,244.9,14.4,84,343,3,0,0,0,428,3088,0
185,Isiah Pacheco,RB,DET,184.8,6,51.6,3,67,263,2,0,73,0,0,0,0
186,Chig Okonkwo,TE,TEN,186.7,7,136.1,8,0,0,0,0,581,4,0,0,0
187,Juwan Johnson,TE,NO,187.2,8,133.9,7.8,0,0,0,0,609,4,0,0,0
188,Dylan Sampson,RB,CLE,188.3,11,82.7,4.9,78,321,2,0,170,1,0,0,0
189,Omar Cooper Jr.,WR,IND,188.7,13,121.3,7.1,3,14,0,0,607,4,0,0,0
190,Jerry Jeudy,WR,CLE,189.4,11,112.6,6.6,1,6,0,0,581,3,0,0,0
191,Zachariah Branch,WR,ATL,191.2,11,75.4,4.4,0,0,0,0,384,2,0,0,0
192,Dalton Kincaid,TE,HOU,191.4,8,142.8,8.4,0,0,0,0,629,4,0,0,0
193,Malik Willis,QB,WAS,191.7,8,251.1,14.8,124,712,5,0,0,0,419,2848,0
194,Jayden Higgins,WR,HOU,194.4,8,0,0,0,0,0,0,0,0,0,0,0
195,Jauan Jennings,WR,MIN,195.5,6,100.7,5.9,0,0,0,0,487,3,0,0,0
196,Keenan Allen,WR,CHI,196.9,13,108.8,6.4,0,0,0,0,438,3,0,0,0
197,MarShawn Lloyd,RB,GB,197.1,11,48.8,2.9,68,263,2,0,47,0,0,0,0
198,Dallas Cowboys,DEF,DAL,198.2,14,170,10,0,0,0,0,0,0,0,0,0
199,Tyler Loop,K,BAL,198.6,13,133.4,9.8,0,0,0,0,0,0,0,0,0
200,Malik Washington,WR,MIA,198.9,8,124.3,7.3,23,121,1,0,473,3,0,0,0
201,Green Bay Packers,DEF,GB,201.3,11,170,10,0,0,0,0,0,0,0,0,0
202,Tre Tucker,WR,LV,202.4,13,119.8,7,7,37,0,0,587,3,0,0,0
203,C.J. Stroud,QB,HOU,203.8,8,239.8,14.1,43,201,2,0,0,0,504,3588,0
204,Daniel Jones,QB,NO,204.8,13,212.4,12.5,87,393,2,0,0,0,409,2988,0
205,David Njoku,TE,CLE,205.8,7,56,3.3,0,0,0,0,230,2,0,0,0
206,Braelon Allen,RB,NYJ,206.4,13,49.2,2.9,47,203,2,0,49,0,0,0,0
207,Jalen McMillan,WR,TB,207.2,10,127.4,7.5,6,33,0,0,581,4,0,0,0
208,Terrance Ferguson,TE,CAR,207.6,11,100.3,5.9,0,0,0,0,413,4,0,0,0
209,Kaleb Johnson,RB,KC,208.7,6,61.7,3.6,67,288,2,0,38,1,0,0,0
210,Isaac TeSlaa,WR,DET,210.3,6,82.1,4.8,2,9,0,0,407,3,0,0,0
211,Nicholas Singleton,RB,TEN,211,9,63.7,3.7,64,270,2,0,37,1,0,0,0
212,Devin Neal,RB,NO,211.9,8,31.3,1.8,39,160,1,0,48,0,0,0,0
213,Cam Ward,QB,MIA,212.6,9,214.8,12.6,48,182,2,0,0,0,441,3108,0
214,Taysom Hill,RB,DEN,213.2,-,97.7,5.7,1,4,0,0,427,3,0,0,0
215,Jaylin Noel,WR,HOU,213.7,8,80.7,4.7,6,36,0,0,371,2,0,0,0
216,James Conner,RB,ARI,214.4,14,57.2,3.4,63,270,2,0,107,1,0,0,0
217,Troy Franklin,WR,FA,214.7,11,63,3.7,0,0,0,0,0,0,0,0,0
218,Caleb Douglas,WR,MIA,214.8,6,90.8,5.3,0,0,0,0,438,3,0,0,0
219,Buffalo Bills,DEF,BUF,217.2,7,170,10,0,0,0,0,0,0,0,0,0
220,Kaleb Johnson,RB,PIT,217.6,9,32,1.9,43,174,1,0,36,0,0,0,0
221,Jake Elliott,K,PHI,218.8,10,82.6,4.9,0,0,0,0,0,0,0,0,0
222,Indianapolis Colts,DEF,IND,219,13,170,10,0,0,0,0,0,0,0,0,0
223,San Francisco 49ers,DEF,SF,219.6,8,170,10,0,0,0,0,0,0,0,0,0
224,Marvin Mims,WR,DEN,220.6,10,65.9,3.9,6,38,0,0,283,2,0,0,0
225,Najee Harris,RB,NO,220.8,8,26.3,1.5,30,117,1,0,36,0,0,0,0
226,Cooper Kupp,WR,MIA,221.9,11,81.4,4.8,0,0,0,0,361,3,0,0,0
227,Kyle Williams,RB,TB,222.1,11,31.2,1.8,1,4,0,0,148,1,0,0,0
228,Malachi Fields,WR,WAS,222.2,8,106.3,6.3,1,7,0,0,494,3,0,0,0
229,Chicago Bears,DEF,CHI,223.1,10,170,10,0,0,0,0,0,0,0,0,0
230,Chase McLaughlin,K,TB,224,10,102.4,6,0,0,0,0,0,0,0,0,0
231,J.J. McCarthy,QB,MIN,224.3,6,16.6,1,6,21,1,0,0,0,32,213,1
232,Mason Taylor,TE,NYJ,224.3,13,91.4,5.4,0,0,0,0,361,3,0,0,0
233,Kendre Miller,RB,NO,225.6,8,4.8,0.3,6,20,0,0,36,0,0,0,0
234,Kansas City Chiefs,DEF,KC,226.7,6,170,10,0,0,0,0,0,0,0,0,0
235,Rashod Bateman,WR,KC,228.3,6,18.9,1.1,16,67,1,0,32,0,0,0,0
236,Ray Davis,RB,BUF,228.6,7,61.1,3.6,73,313,3,0,61,0,0,0,0
237,Bryce Young,QB,CAR,229.2,6,224.6,13.2,61,214,3,0,0,0,493,3202,20
238,Pat Bryant,WR,DEN,229.3,10,92.4,5.4,2,9,0,0,429,3,0,0,0
239,Joe Mixon,RB,DEN,229.3,-,0,0,0,0,0,0,0,0,0,0,0
240,Michael Penix,QB,ATL,237.9,11,113.4,6.7,20,67,1,0,0,0,271,1667,10
241,Jayden Blue,RB,DAL,238.2,14,52.6,3.1,68,289,2,0,67,0,0,0,0
242,Atlanta Falcons,DEF,ATL,238.4,11,170,10,0,0,0,0,0,0,0,0,0
243,Tory Horton,WR,SEA,238.7,11,87,5.1,1,9,0,0,421,3,0,0,0
244,Aaron Rodgers,QB,PIT,238.8,9,160,9.4,31,63,0,0,0,0,433,2700,18
245,Elijah Sarratt,WR,IND,239.2,13,61.4,3.6,1,4,0,0,270,2,0,0,0
246,Chimere Dike,WR,CIN,239.4,6,85.4,5,6,30,0,0,361,2,0,0,0
247,Greg Dulcich,TE,MIA,239.7,8,110.9,6.5,0,0,0,0,469,3,0,0,0
248,Dont'e Thornton,WR,PIT,239.8,9,84.9,5,2,10,0,0,439,3,0,0,0
249,Ryan Flournoy,WR,DAL,240.7,14,114.2,6.7,2,13,0,0,449,3,0,0,0
250,Keyshawn Boutte,WR,HOU,241.8,8,119.7,7,0,0,0,0,612,4,0,0,0
251,Tai Felton,WR,LAC,241.8,7,112.9,6.6,1,6,0,0,481,4,0,0,0
252,Theo Johnson,TE,NYG,242.2,8,77,4.5,0,0,0,0,340,2,0,0,0
253,Tampa Bay Buccaneers,DEF,TB,242.4,10,170,10,0,0,0,0,0,0,0,0,0
254,Rashod Bateman,WR,BAL,242.7,13,113.3,6.7,0,0,0,0,461,3,0,0,0
255,Cobra Bowen,K,CHI,243.1,10,91.7,5.4,0,0,0,0,0,0,0,0,0
256,Denver Broncos,TE,DEN,243.1,8,130.3,7.7,0,0,0,0,583,3,0,0,0
257,Keon Coleman,WR,BUF,243.6,7,81.8,4.8,3,13,0,0,376,3,0,0,0
258,Adonai Mitchell,RB,IND,243.9,13,94.3,5.5,1,10,0,0,401,3,0,0,0
259,Cade Stover,TE,TB,254,10,117.3,6.9,0,0,0,0,413,3,0,0,0
260,Antonio Williams,WR,WAS,255,7,73.2,4.3,2,13,0,0,339,2,0,0,0
261,Shedeur Sanders,QB,CLE,258.1,11,92.1,5.4,38,101,2,0,0,0,236,1422,7
262,Tua Tagovailoa,QB,MIA,259.5,11,123.8,7.3,20,43,0,0,0,0,306,2141,14
263,Jerand Washington,TE,—,261.7,-,0,0,0,0,0,0,0,0,0,0,0
264,Zakhari Franklin,RB,NO,261.4,8,22.6,1.3,30,119,1,0,17,0,0,0,0
265,Kimani Vidal,RB,LAC,261.8,7,40,2.3,60,241,2,0,37,0,0,0,0
266,Shelton Gibson,WR,—,265,-,0,0,0,0,0,0,0,0,0,0,0
267,Josh Hock,RB,LV,266.3,13,77.9,4.6,1,9,0,0,360,2,0,0,0
