game_id,season,week,team,opponent,all_offEpa,all_offPlays,all_successNum,all_successDen,all_epaPosNum,all_epaPosDen,all_earlyEpa,all_earlyPlays,all_earlySuccessNum,all_earlySuccessDen,all_passEpa,all_passPlays,all_passSuccessNum,all_passSuccessDen,all_rushEpa,all_rushPlays,all_rushSuccessNum,all_rushSuccessDen,all_explosivePass,all_explosiveRush,all_thirdEpa,all_thirdPlays,all_thirdSuccessNum,all_thirdSuccessDen,all_thirdRawConvNum,all_thirdRawConvDen,all_sacks,all_dropbacks,filtered_offEpa,filtered_offPlays,filtered_successNum,filtered_successDen,filtered_epaPosNum,filtered_epaPosDen,filtered_earlyEpa,filtered_earlyPlays,filtered_earlySuccessNum,filtered_earlySuccessDen,filtered_passEpa,filtered_passPlays,filtered_passSuccessNum,filtered_passSuccessDen,filtered_rushEpa,filtered_rushPlays,filtered_rushSuccessNum,filtered_rushSuccessDen,filtered_explosivePass,filtered_explosiveRush,filtered_thirdEpa,filtered_thirdPlays,filtered_thirdSuccessNum,filtered_thirdSuccessDen,filtered_thirdRawConvNum,filtered_thirdRawConvDen,filtered_sacks,filtered_dropbacks,drivesOff,drivePointsOff,oppTouchdownAgainst,safetyAgainst
2026_01_CLE_JAX,2026,1,cle,jax,-10.489239150477058,51,24,51,22,51,-3.2411217755870902,41,22,41,-8.221107378362628,32,13,32,-2.2681317721144305,19,11,19,4,1,-6.1629270124765565,8,1,8,1,8,5,32,-14.381133544491604,13,5,13,3,13,-11.281682344852014,11,5,11,-12.895521306898445,8,2,8,-1.48561223759316,5,3,5,0,0,-3.09945119963959,2,0,2,0,2,2,8,9,10,0,0
2026_01_CLE_JAX,2026,1,jax,cle,16.729605309298044,54,34,54,32,54,14.646190437546455,45,29,45,18.267180499853566,25,17,25,-1.5375751905555208,29,17,29,6,5,2.0834148717515886,9,5,9,5,9,1,25,12.656594722551281,30,20,30,18,30,7.775218055292489,25,16,25,12.116065704612991,18,12,18,0.5405290179382891,12,8,12,3,1,4.88137666725879,5,4,5,4,5,0,18,9,34,0,0
2026_01_DAL_NYG,2026,1,dal,nyg,15.710281403094978,58,29,58,28,58,2.883627977163986,44,21,44,17.40774060471447,41,19,41,-1.6974592016194934,17,10,17,3,0,12.826653425930992,14,8,14,8,14,0,41,12.03352880780584,50,25,50,25,50,3.8086768115754177,38,19,38,13.730988009425332,33,15,33,-1.6974592016194934,17,10,17,2,0,8.224851996230422,12,6,12,6,12,0,33,7,20,0,0
2026_01_DAL_NYG,2026,1,nyg,dal,23.949528776342067,66,40,66,39,66,12.456009363260826,56,31,56,22.012521196069425,33,21,33,1.9370075802726336,33,19,33,6,4,11.493519413081238,10,9,10,9,10,2,33,22.988269677327494,59,37,59,36,59,11.857094109203903,50,29,50,21.650177351111775,32,20,32,1.3380923262157116,27,17,27,6,3,11.131175568123588,9,8,9,8,9,2,32,7,28,0,0
2026_01_DEN_KC,2026,1,den,kc,-18.884358192973476,50,19,50,18,50,-5.636967203347021,37,17,37,-15.45941364177752,35,11,35,-3.424944551195953,15,8,15,1,1,-10.499086924600572,12,2,12,2,12,4,35,-12.718242174950598,41,17,41,15,41,-3.41988378530369,31,15,31,-10.331214355309658,28,10,28,-2.387027819640939,13,7,13,1,1,-9.298358389646907,10,2,10,2,10,4,28,12,10,0,0
2026_01_DEN_KC,2026,1,kc,den,7.804838924211808,66,31,66,27,66,-6.308166865055688,48,20,48,-0.4684590902674093,34,15,34,8.273298014479217,32,16,32,4,4,4.7315444186475535,16,9,16,9,16,2,34,5.086978270215341,49,22,49,19,49,-6.418307146115696,35,14,35,-3.642088601997231,27,11,27,8.72906687221257,22,11,22,2,3,2.1238240457110944,12,6,12,6,12,1,27,12,31,0,0
2026_01_GB_MIN,2026,1,gb,min,-12.33035397457688,68,27,68,26,68,5.810202315042254,54,24,54,-2.7036460936736084,46,19,46,-9.62670788090327,22,8,22,8,2,-10.128032578658614,12,3,12,3,12,4,46,-9.697285638286582,57,22,57,21,57,4.3326003940310205,46,20,46,-0.07057775738330996,35,14,35,-9.62670788090327,22,8,22,6,2,-9.678081592989924,10,2,10,2,10,3,35,12,22,0,0
2026_01_GB_MIN,2026,1,min,gb,3.3747772302118353,61,25,61,23,61,-12.285972349898646,44,17,44,6.861776834509865,33,10,33,-3.4869996042980285,28,15,28,3,1,15.660749580110485,17,8,17,8,17,3,33,1.9612290532200847,57,24,57,22,57,-10.754212631873077,41,17,41,3.9164689394925443,32,9,32,-1.95523988627246,25,15,25,3,1,12.715441685093165,16,7,16,7,16,3,32,13,33,0,0
2026_01_MIA_LV,2026,1,lv,mia,-1.8698029671690994,65,31,65,28,65,-10.915106668486255,52,25,52,0.8624369039421429,32,13,32,-2.7322398711112443,33,18,33,2,4,7.197079863991804,12,5,12,5,12,0,32,10.69138086064369,50,30,50,26,50,-0.14299517334438527,41,25,41,6.342570087708294,25,12,25,4.348810772935393,25,18,25,2,4,8.986152196662722,8,4,8,4,8,0,25,11,27,0,0
2026_01_MIA_LV,2026,1,mia,lv,-13.314724907158208,55,18,55,19,55,-1.815399105177059,44,15,44,-7.333496432862033,40,14,40,-5.98122847429618,15,4,15,5,1,-8.98156601413107,10,3,10,3,10,5,40,-5.030183053454657,40,15,40,15,40,-1.153613159182275,33,13,33,0.05013144703695893,26,11,26,-5.080314500491617,14,4,14,3,1,-3.8765698942723814,7,2,7,2,7,3,26,11,13,0,0
