window,signal,group,n,games,ats_w,ats_l,ats_p,ats_cover_rate,ats_wilson_low,ats_wilson_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_win_rate,mean_score_margin,median_score_margin,opponent_points_mean,opponent_pass_epa_per_play_mean,opponent_pass_success_rate_mean,defense_sack_rate_mean,offense_pass_epa_per_play_mean,offense_pass_success_rate_mean,offense_rush_epa_per_play_mean,offense_rush_success_rate_mean
"2026 Week 2 same-season","pass_rush_10plus_market","favorite_7+","1","1","0","1","0","0","0","0.793","-3","-3","1","0","0","1","4","4","20","0.037","0.36","0.08","0.171","0.442","-0.128","0.364"
"2026 Week 2 same-season","pass_rush_10plus_market","underdog_0-3","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_rush_10plus_market","underdog_3.5-6.5","5","5","4","1","0","0.8","0.376","0.964","2.4","3","2","3","0","0.4","-2.4","-3","20.2","0.162","0.415","0.066","0.074","0.399","-0.28","0.456"
"2026 Week 2 same-season","pass_rush_10plus_market","underdog_7+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_protection_10plus_market","favorite","3","3","3","0","0","1","0.438","1","11.833","12.5","3","0","0","1","18.667","17","12","-0.062","0.404","0.07","0.437","0.616","-0.164","0.447"
"2026 Week 2 same-season","pass_protection_10plus_market","underdog","4","4","0","4","0","0","0","0.49","-15.5","-14.5","0","4","0","0","-20","-19.5","35","0.438","0.553","0.045","-0.137","0.423","-0.199","0.44"
"2026 Week 2 same-season","pass_protection_10plus_market","pickem","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_protection_10plus_market","home","4","4","3","1","0","0.75","0.301","0.954","1.75","11","3","1","0","0.75","6.25","17","17.5","0.021","0.415","0.065","0.155","0.547","-0.169","0.469"
"2026 Week 2 same-season","pass_protection_10plus_market","away","3","3","0","3","0","0","0","0.562","-11.167","-13.5","0","3","0","0","-16.333","-17","35.333","0.494","0.587","0.044","0.047","0.45","-0.204","0.408"
"2026 Week 2 same-season","pass_protection_10plus_market","neutral","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_protection_10plus_market","favorite_0-3","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_protection_10plus_market","favorite_3.5-6.5","2","2","2","0","0","1","0.342","1","13","13","2","0","0","1","17","17","11.5","-0.164","0.445","0.041","0.199","0.535","-0.123","0.41"
"2026 Week 2 same-season","pass_protection_10plus_market","favorite_7+","1","1","1","0","0","1","0.207","1","9.5","9.5","1","0","0","1","22","22","13","0.141","0.323","0.129","0.913","0.778","-0.245","0.522"
"2026 Week 2 same-season","pass_protection_10plus_market","underdog_0-3","1","1","0","1","0","0","0","0.793","-28.5","-28.5","0","1","0","0","-31","-31","34","0.272","0.45","0.05","-0.691","0.341","-0.184","0.536"
"2026 Week 2 same-season","pass_protection_10plus_market","underdog_3.5-6.5","3","3","0","3","0","0","0","0.562","-11.167","-13.5","0","3","0","0","-16.333","-17","35.333","0.494","0.587","0.044","0.047","0.45","-0.204","0.408"
"2026 Week 2 same-season","pass_protection_10plus_market","underdog_7+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","run_block_10plus_market","favorite","4","4","0","4","0","0","0","0.49","-8.5","-7.75","2","2","0","0.5","-1","-0.5","24.25","0.208","0.44","0.052","0.047","0.479","0.033","0.61"
"2026 Week 2 same-season","run_block_10plus_market","underdog","6","6","4","2","0","0.667","0.3","0.903","3.917","5.5","3","3","0","0.5","-0.5","0.5","14.667","-0.023","0.401","0.068","-0.013","0.386","-0.253","0.389"
"2026 Week 2 same-season","run_block_10plus_market","pickem","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","run_block_10plus_market","home","4","4","1","3","0","0.25","0.046","0.699","-7.625","-7.75","1","3","0","0.25","-2.75","-3.5","24.25","0.213","0.424","0.051","0.037","0.481","-0.07","0.613"
"2026 Week 2 same-season","run_block_10plus_market","away","6","6","3","3","0","0.5","0.188","0.812","3.333","3.75","4","2","0","0.667","0.667","4","14.667","-0.026","0.411","0.068","-0.006","0.385","-0.184","0.387"
"2026 Week 2 same-season","run_block_10plus_market","neutral","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","run_block_10plus_market","favorite_0-3","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","run_block_10plus_market","favorite_3.5-6.5","1","1","0","1","0","0","0","0.793","-3","-3","1","0","0","1","3","3","30","0.224","0.486","0","0.251","0.538","0.094","0.607"
"2026 Week 2 same-season","run_block_10plus_market","favorite_7+","3","3","0","3","0","0","0","0.562","-10.333","-12.5","1","2","0","0.333","-2.333","-4","22.333","0.203","0.425","0.069","-0.021","0.459","0.012","0.611"
"2026 Week 2 same-season","run_block_10plus_market","underdog_0-3","2","2","1","1","0","0.5","0.095","0.905","6.25","6.25","1","1","0","0.5","3.5","3.5","13","0.101","0.469","0.031","-0.069","0.361","-0.094","0.425"
"2026 Week 2 same-season","run_block_10plus_market","underdog_3.5-6.5","3","3","2","1","0","0.667","0.208","0.939","-0.5","0.5","1","2","0","0.333","-4.667","-3","14.333","-0.011","0.365","0.091","-0.093","0.365","-0.254","0.425"
"2026 Week 2 same-season","run_block_10plus_market","underdog_7+","1","1","1","0","0","1","0.207","1","12.5","12.5","1","0","0","1","4","4","19","-0.309","0.372","0.07","0.342","0.5","-0.567","0.211"
"2026 Week 2 same-season","run_stop_10plus_market","favorite","4","4","2","2","0","0.5","0.15","0.85","3.125","5.25","3","1","0","0.75","8.25","10.5","18.25","0.034","0.415","0.05","0.29","0.488","-0.272","0.428"
"2026 Week 2 same-season","run_stop_10plus_market","underdog","5","5","2","3","0","0.4","0.118","0.769","-0.3","-4.5","2","3","0","0.4","-5.2","-10","23","0.164","0.473","0.077","0.083","0.433","-0.211","0.407"
"2026 Week 2 same-season","run_stop_10plus_market","pickem","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","run_stop_10plus_market","home","2","2","1","1","0","0.5","0.095","0.905","-2.5","-2.5","1","1","0","0.5","2.5","2.5","23","0.162","0.488","0.03","0.196","0.487","-0.392","0.449"
"2026 Week 2 same-season","run_stop_10plus_market","away","7","7","3","4","0","0.429","0.158","0.75","2.286","-3","4","3","0","0.571","0.286","4","20.286","0.09","0.436","0.075","0.169","0.449","-0.194","0.407"
"2026 Week 2 same-season","run_stop_10plus_market","neutral","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","run_stop_10plus_market","favorite_0-3","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","run_stop_10plus_market","favorite_3.5-6.5","3","3","2","1","0","0.667","0.208","0.939","5.167","13.5","2","1","0","0.667","9.667","17","17.667","0.033","0.433","0.04","0.33","0.503","-0.32","0.45"
"2026 Week 2 same-season","run_stop_10plus_market","favorite_7+","1","1","0","1","0","0","0","0.793","-3","-3","1","0","0","1","4","4","20","0.037","0.36","0.08","0.171","0.442","-0.128","0.364"
"2026 Week 2 same-season","run_stop_10plus_market","underdog_0-3","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","run_stop_10plus_market","underdog_3.5-6.5","5","5","2","3","0","0.4","0.118","0.769","-0.3","-4.5","2","3","0","0.4","-5.2","-10","23","0.164","0.473","0.077","0.083","0.433","-0.211","0.407"
"2026 Week 2 same-season","run_stop_10plus_market","underdog_7+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_rush_volume","10plus_opponent_pregame_pass_rate_above_median","3","3","2","1","0","0.667","0.208","0.939","5.333","0.5","2","1","0","0.667","4.333","4","18","0.008","0.337","0.082","0.177","0.448","-0.388","0.333"
