window,tier,edge_bucket,group,n,games,ats_w,ats_l,ats_p,ats_pct,ats_ci_low,ats_ci_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_pct,mean_score_margin,mean_qb_team_pass_epa_db,mean_sack_rate,mean_hits_allowed_rate,mean_cpoe,mean_yards_attempt,mean_pass_success_rate,mean_explosive_pass_rate,mean_qb_completion_pct,mean_qb_passer_rating,mean_qb_interceptions,mean_team_sack_fumbles,mean_sacks,mean_hits_allowed
2022-2025 available,vulnerable,favorable protection,vulnerable | favorable protection,120,120,62,55,3,0.5299145299145299,0.43996887268203627,0.6179581987900395,0.975,0.5,74,46,0,0.6166666666666667,3.9,0.15756805872429044,0.05609669356237436,0.11028269543921174,2.314184148643824,7.694611839843062,0.4857942709990574,0.10570627260222656,0.6610996759978972,97.46464849386189,0.6083333333333333,0.24166666666666667,2.0416666666666665,4.033333333333333
2022-2025 available,vulnerable,neutral,vulnerable | neutral,102,100,47,53,2,0.47,0.3751065198210374,0.5671131686275227,-0.03431372549019608,-1.5,46,56,0,0.45098039215686275,-1.2352941176470589,0.07233678188768962,0.06573140950847353,0.12860962935431636,2.175470229397908,7.294471540934772,0.4703576824509241,0.096868725258186,0.6569760498692201,93.11277670938564,0.6862745098039216,0.3235294117647059,2.5686274509803924,5.078431372549019
2022-2025 available,vulnerable,moderate disadvantage,vulnerable | moderate disadvantage,35,35,17,17,1,0.5,0.34069062628048985,0.6593093737195102,-2.942857142857143,0.0,13,22,0,0.37142857142857144,-5.942857142857143,-0.07048078488104284,0.08801200016917413,0.1688300933327662,-0.31935729258126627,6.614444985032649,0.44686294800785004,0.0738077755484589,0.630332707555099,86.33697189223,0.4857142857142857,0.5142857142857142,3.257142857142857,6.371428571428571
2022-2025 available,vulnerable,large disadvantage,vulnerable | large disadvantage,15,15,7,8,0,0.4666666666666667,0.24809225259746442,0.6988336984894921,-1.2666666666666666,-0.5,7,8,0,0.4666666666666667,-3.1333333333333333,-0.019781736235356475,0.06537129280473418,0.154649183837619,-4.819991767224748,6.594782034387607,0.42166839686594404,0.08190338630395252,0.5967601058972873,82.04048802623629,0.8666666666666667,0.2,2.6,6.266666666666667
2022-2025 available,vulnerable,extreme disadvantage,vulnerable | extreme disadvantage,11,11,7,4,0,0.6363636363636364,0.35379677689163724,0.8483377638586862,4.181818181818182,4.5,6,5,0,0.5454545454545454,1.6363636363636365,-0.07320793335522768,0.11428143330841357,0.22524671517022143,-1.9403456878797558,6.588481771431683,0.3909031311464852,0.08808510001197749,0.6127036664187419,84.03048837858536,0.6363636363636364,0.45454545454545453,4.0,7.818181818181818
2022-2025 available,highly vulnerable,favorable protection,highly vulnerable | favorable protection,44,44,23,20,1,0.5348837209302325,0.38915389728872773,0.6748917373608144,3.0454545454545454,2.5,29,15,0,0.6590909090909091,4.318181818181818,0.11675495343503664,0.05706219422862902,0.11348624181465862,1.9716660602418552,7.509972809751177,0.4640596178703682,0.10204402407389045,0.653714152693849,95.46126781561216,0.6818181818181818,0.1590909090909091,2.3863636363636362,4.704545454545454
2022-2025 available,highly vulnerable,neutral,highly vulnerable | neutral,72,71,34,37,1,0.4788732394366197,0.36677330370106553,0.5931420374995502,-1.5902777777777777,-0.75,30,42,0,0.4166666666666667,-3.0,-0.020269446680217736,0.07754334649754835,0.15107348340865945,0.1364765623677673,7.0094821132417096,0.43005744367267135,0.0890545828232195,0.6353172002070934,89.9596989594509,0.5972222222222222,0.375,3.0416666666666665,6.041666666666667
2022-2025 available,highly vulnerable,moderate disadvantage,highly vulnerable | moderate disadvantage,32,32,19,11,2,0.6333333333333333,0.45513246433604937,0.7812629779598231,3.421875,4.0,13,19,0,0.40625,-1.78125,-0.03986916717738354,0.08180240948696099,0.17753942570580225,-0.6343109941116452,6.539561465453927,0.41650898013264226,0.07877023964288177,0.6234141470597298,86.59715896273842,0.625,0.28125,3.09375,6.71875
2022-2025 available,highly vulnerable,large disadvantage,highly vulnerable | large disadvantage,10,10,6,3,1,0.6666666666666666,0.35419734749908977,0.879418401317257,0.6,1.75,3,7,0,0.3,-5.8,0.004573444715981634,0.08948309160633208,0.13677803663502827,-2.8793996381353444,6.946297928013924,0.4321585388030032,0.09164315646513789,0.6608507351453945,94.77325279744448,0.2,0.3,3.0,4.8
2022-2025 available,highly vulnerable,extreme disadvantage,highly vulnerable | extreme disadvantage,14,14,6,7,1,0.46153846153846156,0.2320575430148814,0.7085656756816796,-0.5714285714285714,-1.5,4,10,0,0.2857142857142857,-5.5,-0.05052804123383455,0.08523552677476909,0.16184292501282507,0.08018868427280067,6.936162188578909,0.4322933986226008,0.08365969876414746,0.6302273233799957,87.40892680339995,0.7142857142857143,0.42857142857142855,3.5,6.642857142857143
