window,group,n,games,ats_w,ats_l,ats_p,ats_pct,ats_ci_low,ats_ci_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_pct,mean_score_margin,mean_qb_team_pass_epa_db,mean_sack_rate,mean_hits_allowed_rate,mean_cpoe,mean_yards_attempt,mean_pass_success_rate,mean_explosive_pass_rate,mean_qb_completion_pct,mean_qb_passer_rating,mean_qb_interceptions,mean_team_sack_fumbles,mean_sacks,mean_hits_allowed
2022-2025 available,vulnerable + edge + favorite,14,14,9,5,0,0.6428571428571429,0.3876400468214042,0.8365550926279727,2.9642857142857144,3.5,10,4,0,0.7142857142857143,8.285714285714286,0.07405821940269738,0.07886141467242783,0.14965032156725808,0.7722348828844025,7.73398628462259,0.45750852373833456,0.10837973602152366,0.6544470734185547,94.1883460583456,0.5,0.21428571428571427,3.2142857142857144,6.285714285714286
2022-2025 available,vulnerable + edge + high prior pass rate,28,28,14,13,1,0.5185185185185185,0.3398532458621043,0.6925704935029092,1.3214285714285714,0.25,9,19,0,0.32142857142857145,-4.464285714285714,-0.039082127313155725,0.08285078927032323,0.16883215377658384,-2.163165338444945,6.654529076790731,0.4123062732701956,0.07555540834744678,0.6304174173608695,85.10247353582888,0.7142857142857143,0.42857142857142855,3.142857142857143,6.678571428571429
2022-2025 available,fixed z vulnerability >=0.5 + edge >=1 + gate 50,27,26,13,11,3,0.5416666666666666,0.35074553553106635,0.7210894164831857,1.1111111111111112,0.0,10,17,0,0.37037037037037035,-3.5555555555555554,-0.04524036682414161,0.08068135543075419,0.1547132842470446,-1.8393094954107425,6.561988939227212,0.42062489727859936,0.08132376983348209,0.6432844659665332,89.37251898982946,0.4074074074074074,0.4074074074074074,2.8518518518518516,5.592592592592593
2022-2025 available,fixed z vulnerability >=0.5 + edge >=1 + gate 100,22,22,11,9,2,0.55,0.3420820083075997,0.7418049791429071,0.18181818181818182,0.25,7,15,0,0.3181818181818182,-6.2727272727272725,-0.032298481531452206,0.08230279790433274,0.1526570570848539,-1.1987242758221617,6.689923956991191,0.42762395124440383,0.08705147904831144,0.6421003717889208,89.38105262439785,0.5,0.4090909090909091,3.0,5.7272727272727275
2022-2025 available,fixed z vulnerability >=0.5 + edge >=1 + gate 200,13,13,5,6,2,0.45454545454545453,0.21270957543988045,0.7199122443100118,-3.269230769230769,0.0,3,10,0,0.23076923076923078,-9.615384615384615,-0.09496292125416436,0.07438687184478966,0.15033741328236677,-3.3191141295750555,6.136428201193014,0.4065598237989899,0.07777942353369215,0.6159222577333671,85.599021220264,0.6923076923076923,0.3076923076923077,3.0,6.0
2022-2025 available,vulnerable + edge + favorite 0-3,6,6,4,2,0,0.6666666666666666,0.29998832134152864,0.9032306674407831,5.75,2.0,4,2,0,0.6666666666666666,7.833333333333333,0.1556108664959627,0.06087135101126404,0.1257469061543556,2.4308003580517217,7.845267713457283,0.4559117732543711,0.12122348968613335,0.6593080068502805,90.83993182270132,0.6666666666666666,0.16666666666666666,2.6666666666666665,5.833333333333333
2022-2025 available,vulnerable + edge + favorite 3.5-6.5,5,5,3,2,0,0.6,0.23071993220883708,0.8823817688407467,-1.9,3.5,3,2,0,0.6,2.6,0.014126576567321258,0.09984967320261438,0.170281045751634,1.257242489212914,7.788866202863479,0.458235294117647,0.11055541806449247,0.698247714592996,100.91668497152844,0.2,0.4,4.2,7.2
2022-2025 available,vulnerable + edge + favorite 7+,3,3,2,1,0,0.6666666666666666,0.2076549551264879,0.9385096847238394,5.5,5.5,3,0,0,1.0,18.666666666666668,0.010838996608460235,0.0798611111111111,0.16307261208576998,-3.3532420779977534,7.419956896551724,0.45949074074074076,0.07906609195402299,0.5717241379310345,89.67127634099616,0.6666666666666666,0.0,2.6666666666666665,5.666666666666667
2022-2025 available,vulnerable + edge + underdog 0-3,8,8,4,3,1,0.5714285714285714,0.2504542304090258,0.8417830777373732,2.1875,2.25,4,4,0,0.5,0.0,-0.07665889161309702,0.0900453960654029,0.19168205654354764,-4.773753135497348,6.375330459789295,0.41334296897053396,0.08230926593298715,0.578802009011306,81.53122947627458,0.75,0.5,3.25,6.75
2022-2025 available,vulnerable + edge + underdog 3.5-6.5,8,8,6,2,0,0.75,0.40926987910258916,0.9285223111419724,3.5625,6.5,5,3,0,0.625,-2.125,0.038817562463328154,0.04222295139848331,0.1384195192705831,-2.664484123348955,6.032571735696736,0.42893101204271417,0.06482965445229597,0.6173246095121094,87.55057055838306,0.25,0.125,2.0,5.875
2022-2025 available,vulnerable + edge + underdog 7+,20,20,7,12,1,0.3684210526315789,0.19149272376273843,0.5896084250184328,-3.125,-3.0,1,19,0,0.05,-13.15,-0.12488779394956655,0.10817934321242854,0.18475579162559477,-3.6310212083096993,6.521262718660101,0.3927671091952136,0.07953632873284436,0.6195779910896133,82.7554475342964,0.85,0.45,3.75,6.6
2022-2025 available,vulnerable + edge + home,27,27,13,12,2,0.52,0.334982179531473,0.6996899607103998,1.1481481481481481,0.0,12,15,0,0.4444444444444444,-0.4074074074074074,-0.000425493744545891,0.0795309042923319,0.16683813903183822,-0.34816243382169776,6.924467098395557,0.4284196461787971,0.08863925996534455,0.650876205293842,90.68149235832726,0.6666666666666666,0.4074074074074074,3.185185185185185,6.703703703703703
