season,week,game_id,kickoff_utc,team,opponent,defense_prior_games,offense_prior_games,defense_prior_hit_rate,offense_prior_hit_allowed_rate,historical_pass_rush_edge_z,edge_prior_percentile
2024,7,2024_07_LAC_ARI,2024-10-22T01:00:00.000Z,ari,lac,8,8,0.1284722222222222,0.09454545454545454,-1.3790945227785754,0.07435897435897436
2024,7,2024_07_LAC_ARI,2024-10-22T01:00:00.000Z,lac,ari,8,8,0.0916030534351145,0.15753424657534246,-1.1017961975072363,0.13333333333333333
2024,8,2024_08_MIN_LA,2024-10-25T00:15:00.000Z,lar,min,8,8,0.1685082872928177,0.18333333333333332,1.1486113619482576,0.886518771331058
2024,8,2024_08_MIN_LA,2024-10-25T00:15:00.000Z,min,lar,8,8,0.13513513513513514,0.19078947368421054,0.49503717193984115,0.712457337883959
2024,8,2024_08_ARI_MIA,2024-10-27T17:00:00.000Z,ari,mia,8,8,0.15079365079365079,0.08888888888888889,-0.9540500628202708,0.1695059625212947
2024,8,2024_08_ARI_MIA,2024-10-27T17:00:00.000Z,mia,ari,8,8,0.10283687943262411,0.14006514657980457,-1.1491691729702749,0.12350936967632027
2024,8,2024_08_ATL_TB,2024-10-27T17:00:00.000Z,atl,tb,8,8,0.13702623906705538,0.1592356687898089,0.009945320573006417,0.5229982964224872
2024,8,2024_08_ATL_TB,2024-10-27T17:00:00.000Z,tb,atl,8,8,0.11486486486486487,0.1021671826625387,-1.5595604836561237,0.0434412265758092
2024,8,2024_08_BAL_CLE,2024-10-27T17:00:00.000Z,bal,cle,8,8,0.15384615384615385,0.09187279151943463,-0.8272435602357024,0.20783645655877342
2024,8,2024_08_BAL_CLE,2024-10-27T17:00:00.000Z,cle,bal,8,8,0.16231884057971013,0.2596685082872928,2.44818370675975,0.9889267461669506
2024,8,2024_08_GB_JAX,2024-10-27T17:00:00.000Z,gb,jax,8,8,0.11403508771929824,0.10600706713780919,-1.5087902361942556,0.05110732538330494
2024,8,2024_08_GB_JAX,2024-10-27T17:00:00.000Z,jax,gb,8,8,0.15181518151815182,0.11221122112211221,-0.5024787844518434,0.3023850085178876
2024,8,2024_08_IND_HOU,2024-10-27T17:00:00.000Z,hou,ind,8,8,0.13058419243986255,0.15151515151515152,-0.2837532659708984,0.38671209540034074
2024,8,2024_08_IND_HOU,2024-10-27T17:00:00.000Z,ind,hou,8,8,0.16382252559726962,0.10989010989010989,-0.26132882114508144,0.39437819420783643
2024,8,2024_08_NYJ_NE,2024-10-27T17:00:00.000Z,ne,nyj,8,8,0.17406143344709898,0.22580645161290322,2.105017041062149,0.975298126064736
2024,8,2024_08_NYJ_NE,2024-10-27T17:00:00.000Z,nyj,ne,8,8,0.11971830985915492,0.17027863777089783,-0.19658971559227686,0.4190800681431005
2024,8,2024_08_PHI_CIN,2024-10-27T17:00:00.000Z,cin,phi,8,8,0.13029315960912052,0.1490066225165563,-0.33660396566892054,0.3679727427597956
2024,8,2024_08_PHI_CIN,2024-10-27T17:00:00.000Z,phi,cin,8,8,0.1529051987767584,0.14336917562724014,0.0943166676989397,0.5519591141396933
2024,8,2024_08_TEN_DET,2024-10-27T17:00:00.000Z,det,ten,8,8,0.0880281690140845,0.16605166051660517,-1.022781405515488,0.1524701873935264
2024,8,2024_08_TEN_DET,2024-10-27T17:00:00.000Z,ten,det,8,8,0.17754569190600522,0.2264808362369338,2.1996970354386947,0.9804088586030665
2024,8,2024_08_BUF_SEA,2024-10-27T20:05:00.000Z,buf,sea,8,8,0.18088737201365188,0.127208480565371,0.493478378140862,0.711764705882353
2024,8,2024_08_BUF_SEA,2024-10-27T20:05:00.000Z,sea,buf,8,8,0.1518987341772152,0.13513513513513514,-0.02519298784418077,0.5042016806722689
2024,8,2024_08_NO_LAC,2024-10-27T20:05:00.000Z,lac,no,8,8,0.0943952802359882,0.1598639455782313,-0.8717286472001885,0.1949579831932773
2024,8,2024_08_NO_LAC,2024-10-27T20:05:00.000Z,no,lac,8,8,0.12286689419795221,0.14878892733564014,-0.4289167306073633,0.326890756302521
2024,8,2024_08_CAR_DEN,2024-10-27T20:25:00.000Z,car,den,8,8,0.19047619047619047,0.11379310344827587,0.5010698922587705,0.7152428810720268
2024,8,2024_08_CAR_DEN,2024-10-27T20:25:00.000Z,den,car,8,8,0.08727272727272728,0.12225705329153605,-1.8252297641235833,0.020938023450586266
2024,8,2024_08_CHI_WAS,2024-10-27T20:25:00.000Z,chi,wsh,8,8,0.13503649635036497,0.1320754716981132,-0.4796975037854171,0.31072026800670016
2024,8,2024_08_CHI_WAS,2024-10-27T20:25:00.000Z,wsh,chi,8,8,0.17006802721088435,0.1206896551724138,0.1432953801412429,0.5804020100502513
2024,8,2024_08_KC_LV,2024-10-27T20:25:00.000Z,kc,lv,8,8,0.1597222222222222,0.16835016835016836,0.8265003189970578,0.8224455611390284
2024,8,2024_08_KC_LV,2024-10-27T20:25:00.000Z,lv,kc,8,8,0.1807909604519774,0.1488095238095238,0.9527001363709338,0.8467336683417085
2024,8,2024_08_DAL_SF,2024-10-28T00:20:00.000Z,dal,sf,8,8,0.14726027397260275,0.11294765840220386,-0.49898895564574475,0.30333333333333334
2024,8,2024_08_DAL_SF,2024-10-28T00:20:00.000Z,sf,dal,8,8,0.18545454545454546,0.12666666666666668,0.6684593660956135,0.7741666666666667
2024,8,2024_08_NYG_PIT,2024-10-29T00:15:00.000Z,nyg,pit,8,8,0.17105263157894737,0.15680473372781065,0.9205061203437668,0.8402662229617305
2024,8,2024_08_NYG_PIT,2024-10-29T00:15:00.000Z,pit,nyg,8,8,0.19205298013245034,0.1760299625468165,1.7923568713491658,0.9509151414309485
2024,9,2024_09_HOU_NYJ,2024-11-01T00:15:00.000Z,hou,nyj,8,8,0.1541095890410959,0.16176470588235295,0.5410758946504322,0.728405315614618
2024,9,2024_09_HOU_NYJ,2024-11-01T00:15:00.000Z,nyj,hou,8,8,0.17763157894736842,0.16167664670658682,1.0781421176,0.8737541528239202
2024,9,2024_09_DAL_ATL,2024-11-03T18:00:00.000Z,atl,dal,8,8,0.1678832116788321,0.1607717041800643,0.8234650878515669,0.8192371475953566
2024,9,2024_09_DAL_ATL,2024-11-03T18:00:00.000Z,dal,atl,8,8,0.0949367088607595,0.11570247933884298,-1.6676758125864597,0.03233830845771144
2024,9,2024_09_DEN_BAL,2024-11-03T18:00:00.000Z,bal,den,8,8,0.1855072463768116,0.09278350515463918,-0.03900291665433772,0.4975124378109453
2024,9,2024_09_DEN_BAL,2024-11-03T18:00:00.000Z,den,bal,8,8,0.16666666666666666,0.09404388714733543,-0.4429123993662087,0.3200663349917081
2024,9,2024_09_LAC_CLE,2024-11-03T18:00:00.000Z,cle,lac,8,8,0.1270358306188925,0.24866310160427807,1.5287210096731516,0.9336650082918739
2024,9,2024_09_LAC_CLE,2024-11-03T18:00:00.000Z,lac,cle,8,8,0.15492957746478872,0.17627118644067796,0.8174182228649568,0.8175787728026535
2024,9,2024_09_LV_CIN,2024-11-03T18:00:00.000Z,cin,lv,8,8,0.1314878892733564,0.14332247557003258,-0.325928979873231,0.3714759535655058
2024,9,2024_09_LV_CIN,2024-11-03T18:00:00.000Z,lv,cin,8,8,0.1320754716981132,0.1572700296735905,-0.05366947767140906,0.4917081260364842
2024,9,2024_09_MIA_BUF,2024-11-03T18:00:00.000Z,buf,mia,8,8,0.14015151515151514,0.09712230215827339,-0.9871313798995581,0.16169154228855723
2024,9,2024_09_MIA_BUF,2024-11-03T18:00:00.000Z,mia,buf,8,8,0.1557632398753894,0.13861386138613863,0.13722660251673988,0.5737976782752903
2024,9,2024_09_NE_TEN,2024-11-03T18:00:00.000Z,ne,ten,8,8,0.10218978102189781,0.20711974110032363,0.19396498566659995,0.5961857379767828
2024,9,2024_09_NE_TEN,2024-11-03T18:00:00.000Z,ten,ne,8,8,0.11186440677966102,0.19269102990033224,0.14552188223523388,0.5804311774461028
2024,9,2024_09_NO_CAR,2024-11-03T18:00:00.000Z,car,no,8,8,0.10174418604651163,0.10967741935483871,-1.6251346484593425,0.03731343283582089
2024,9,2024_09_NO_CAR,2024-11-03T18:00:00.000Z,no,car,8,8,0.07168458781362007,0.1488673139158576,-1.5793414000774821,0.03980099502487562
2024,9,2024_09_WAS_NYG,2024-11-03T18:00:00.000Z,nyg,wsh,8,8,0.16917293233082706,0.18128654970760233,1.2335694256945333,0.900497512437811
2024,9,2024_09_WAS_NYG,2024-11-03T18:00:00.000Z,wsh,nyg,8,8,0.2089041095890411,0.11475409836065574,0.8995215118238945,0.8316749585406302
2024,9,2024_09_CHI_ARI,2024-11-03T21:05:00.000Z,ari,chi,8,8,0.1617161716171617,0.07942238267148015,-0.8869760858614845,0.1890343698854337
