window,metric,quintile,n,games,small_n_lt_30,mean_actual_hit_rate,mean_team_sack_rate,mean_team_sacks,mean_team_pass_epa_db,mean_team_pass_success_rate,mean_team_explosive_pass_rate,mean_team_points,mean_team_total_margin
2023,raw protection,4,108,96,False,0.158715858024,0.0641732277091,2.58333333333,0.013609610021,0.439881823203,0.0922294508543,20.6574074074,-0.456018518519
2023,raw protection,5,74,70,False,0.185295231747,0.0884129725892,3.54054054054,-0.067979701984,0.426516993916,0.0795474784306,18.5405405405,-0.905405405405
2023,adjusted protection,1,94,85,False,0.126481846209,0.0536636495453,2.1170212766,0.083331645834,0.461232621554,0.0946169022823,23.6489361702,0.0186170212766
2023,adjusted protection,2,106,95,False,0.127695826524,0.0584763308461,2.33018867925,0.100049070591,0.49230663228,0.098408946183,24.0943396226,1.7570754717
2023,adjusted protection,3,80,72,False,0.133448137845,0.0570289289873,2.225,0.0554235660819,0.473431118072,0.0996528262412,22.3625,0.803125
2023,adjusted protection,4,106,93,False,0.156093919515,0.0651414198221,2.6320754717,0.0158819775915,0.442060505561,0.0942420727527,20.6132075472,-0.747641509434
2023,adjusted protection,5,79,75,False,0.185363275979,0.0845661001756,3.39240506329,-0.0600078470681,0.42350120754,0.0801912548321,18.7721518987,-0.620253164557
2023,QB vulnerability,1,100,92,False,0.16474319392,0.0590615110263,2.39,0.0387804325008,0.458418420665,0.0984193314314,22.31,0.1025
2023,QB vulnerability,2,89,87,False,0.133197612001,0.0552359592602,2.11235955056,0.111671445706,0.481059024921,0.0943425713477,24.202247191,1.50280898876
2023,QB vulnerability,3,90,80,False,0.142510943982,0.0645975245253,2.58888888889,0.0993948674185,0.478524993608,0.103714556348,23.7777777778,0.736111111111
2023,QB vulnerability,4,92,84,False,0.141659129078,0.067599416089,2.6847826087,-0.0390177522568,0.438906550077,0.0743607713503,18.1304347826,-2.26086956522
2023,QB vulnerability,5,94,85,False,0.139393880425,0.0695300627307,2.8085106383,0.00683430219097,0.44284170811,0.0979617981294,21.7127659574,1.29521276596
2024,all complete case,all,488,255,False,0.137995864733,0.0610515790946,2.40778688525,0.0933583008179,0.469641162517,0.0929977676055,23.1454918033,0.865778688525
2024,raw protection,1,95,88,False,0.102803342397,0.0484071431481,1.86315789474,0.168861879276,0.489792023805,0.0991714242841,25.2736842105,1.92368421053
2024,raw protection,2,106,93,False,0.12502301533,0.0569852947986,2.17924528302,0.120268048369,0.474421536221,0.0960269832275,24.0849056604,1.18867924528
2024,raw protection,3,93,87,False,0.146649364101,0.0611016155042,2.50537634409,0.100442083899,0.468850029118,0.0935452279951,22.9784946237,0.521505376344
2024,raw protection,4,100,91,False,0.146194913102,0.0631465648401,2.53,0.0410847017763,0.461263783129,0.0880882502052,21.94,0.1275
2024,raw protection,5,94,82,False,0.170907900694,0.0761377023888,2.98936170213,0.0353082463887,0.453580119004,0.0880237642373,21.3829787234,0.558510638298
2024,adjusted protection,1,95,90,False,0.107614138352,0.0469468513355,1.83157894737,0.148206423819,0.483083677723,0.0955290645396,24.7578947368,1.49736842105
2024,adjusted protection,2,102,92,False,0.121583755142,0.0593596455525,2.29411764706,0.113576297372,0.476745887718,0.0983099354638,23.8725490196,1.20833333333
2024,adjusted protection,3,93,85,False,0.142003467659,0.0600735030562,2.39784946237,0.12542961036,0.469702105877,0.0954221363401,23.935483871,1.16397849462
2024,adjusted protection,4,105,94,False,0.153005740438,0.0645953401979,2.61904761905,0.0579168636843,0.466610566574,0.0863573717091,21.8761904762,0.0357142857143
2024,adjusted protection,5,93,82,False,0.166077103046,0.0742923588164,2.89247311828,0.0230992876788,0.451477978928,0.089658637998,21.3440860215,0.483870967742
2024,QB vulnerability,1,95,89,False,0.153354008014,0.0634192678294,2.33684210526,0.0942474997715,0.47494281842,0.0988857241083,24.4,1.36315789474
2024,QB vulnerability,2,102,92,False,0.132481609532,0.0499705519697,2.05882352941,0.13172468961,0.473941969998,0.0953289523233,23.0490196078,0.517156862745
2024,QB vulnerability,3,98,90,False,0.136033795342,0.0606122314167,2.48979591837,0.0187499675648,0.448962700881,0.0860398762273,21.5204081633,-0.0586734693878
2024,QB vulnerability,4,94,86,False,0.135597215918,0.0655996495259,2.56382978723,0.0661977192438,0.469523589848,0.0819454663557,21.5106382979,-0.356382978723
2024,QB vulnerability,5,99,92,False,0.133159361779,0.0663129102947,2.60606060606,0.152619571216,0.480703802891,0.10232759552,25.202020202,2.82323232323
2025,all complete case,all,481,256,False,0.142569128024,0.0612633708293,2.33471933472,0.0784769478048,0.468979133163,0.0919474519048,23.4594594595,0.754677754678
2025,raw protection,1,98,95,False,0.109346005033,0.0503310750775,1.90816326531,0.110133239681,0.472378809457,0.0916174874134,24.4795918367,0.566326530612
2025,raw protection,2,115,107,False,0.137043505316,0.05247405882,2.04347826087,0.119821941166,0.483466638327,0.0945060824843,24.6434782609,1.64347826087
2025,raw protection,3,84,78,False,0.137389159954,0.061597162032,2.36904761905,0.139924059723,0.486983345899,0.103720692095,25.4761904762,1.58928571429
2025,raw protection,4,99,88,False,0.15280378347,0.0641968958861,2.44444444444,0.0298156200853,0.454735872761,0.0856773726509,21.5454545455,-0.272727272727
2025,raw protection,5,85,78,False,0.181547940886,0.0820125287478,3.05882352941,-0.0180063086355,0.444255574802,0.0845342715954,20.9176470588,0.141176470588
2025,adjusted protection,1,95,93,False,0.10819760859,0.0493941299314,1.86315789474,0.081633257156,0.460557801795,0.0872047554153,23.2526315789,-0.481578947368
2025,adjusted protection,2,113,107,False,0.133740141712,0.0545269351972,2.15044247788,0.135624953554,0.487990207579,0.0984223240236,25.3982300885,2.28097345133
2025,adjusted protection,3,90,86,False,0.140347618427,0.058700910206,2.24444444444,0.130900607224,0.492305841492,0.100630811926,25.7111111111,2.04166666667
2025,adjusted protection,4,100,93,False,0.153389596733,0.0641533621836,2.46,0.0505712537577,0.456691415535,0.0919049333338,21.71,-0.56
