window,signal_form,outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game
2022-2023 exploratory,E raw + QB,team_sack_rate,raw_protection_z+qb_vulnerability_z,raw_protection_z,632,356,0.0125437410886,0.00201108805552,0.00860200849976,0.0164854736774,4.45213814151e-10,True
2022-2023 exploratory,E raw + QB,team_sack_rate,raw_protection_z+qb_vulnerability_z,qb_vulnerability_z,632,356,0.0144439258109,0.00456351533595,0.00549943575238,0.0233884158693,0.00155036265776,True
2024-2025 heldout,E raw + QB,team_sack_rate,raw_protection_z+qb_vulnerability_z,intercept,969,511,0.0614042066145,0.00145094809446,0.0585603483494,0.0642480648797,0,True
2024-2025 heldout,E raw + QB,team_sack_rate,raw_protection_z+qb_vulnerability_z,raw_protection_z,969,511,0.0113538974364,0.00159348276984,0.00823067120754,0.0144771236653,1.03923032628e-12,True
2024-2025 heldout,E raw + QB,team_sack_rate,raw_protection_z+qb_vulnerability_z,qb_vulnerability_z,969,511,0.0150383598363,0.00447907169497,0.00625937931417,0.0238173403584,0.00078658580603,True
2022-2023 exploratory,F adjusted + QB + rush,team_sack_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,intercept,632,356,0.0623911348,0.00164214540437,0.0591725298074,0.0656097397926,7.3405171915e-316,True
2022-2023 exploratory,F adjusted + QB + rush,team_sack_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,adjusted_protection_z,632,356,0.0122497338755,0.00198149630129,0.008366001125,0.0161334666261,6.32694859133e-10,True
2022-2023 exploratory,F adjusted + QB + rush,team_sack_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,qb_vulnerability_z,632,356,0.0131948998796,0.00457594330073,0.00422605101013,0.022163748749,0.00393236976833,True
2022-2023 exploratory,F adjusted + QB + rush,team_sack_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,pass_rush_z,632,356,0.00682470473474,0.00173138900895,0.00343118227719,0.0102182271923,8.08888534532e-05,True
2024-2025 heldout,F adjusted + QB + rush,team_sack_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,intercept,969,511,0.061380162418,0.00144807402065,0.0585419373375,0.0642183874985,0,True
2024-2025 heldout,F adjusted + QB + rush,team_sack_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,adjusted_protection_z,969,511,0.0111368831893,0.00159459697446,0.00801147311935,0.0142622932592,2.86612968989e-12,True
2024-2025 heldout,F adjusted + QB + rush,team_sack_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,qb_vulnerability_z,969,511,0.0150470156273,0.00447453923966,0.00627691871754,0.023817112537,0.000771540499556,True
2024-2025 heldout,F adjusted + QB + rush,team_sack_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,pass_rush_z,969,511,0.00221518317503,0.00165217115671,-0.00102307229212,0.00545343864219,0.179994814285,True
2022-2023 exploratory,A raw protection,team_sacks,raw_protection_z,intercept,632,356,2.4792050693,0.0660330292182,2.34978033203,2.60862980656,1.70490357538e-308,True
2022-2023 exploratory,A raw protection,team_sacks,raw_protection_z,raw_protection_z,632,356,0.470202196903,0.0776750601437,0.317959079022,0.622445314785,1.417749122e-09,True
2024-2025 heldout,A raw protection,team_sacks,raw_protection_z,intercept,969,511,2.38438540733,0.0541778055835,2.27819690839,2.49057390627,0,True
2024-2025 heldout,A raw protection,team_sacks,raw_protection_z,raw_protection_z,969,511,0.401431195741,0.0575303358508,0.288671737473,0.514190654008,2.99985780216e-12,True
2022-2023 exploratory,B opponent adjusted,team_sacks,adjusted_protection_z,intercept,632,356,2.48007433349,0.0661598406955,2.35040104573,2.60974762125,1.55169078349e-307,True
2022-2023 exploratory,B opponent adjusted,team_sacks,adjusted_protection_z,adjusted_protection_z,632,356,0.456356049815,0.0758291616695,0.307730892943,0.604981206688,1.76352998169e-09,True
2024-2025 heldout,B opponent adjusted,team_sacks,adjusted_protection_z,intercept,969,511,2.38414847821,0.0542114763062,2.27789398465,2.49040297177,0,True
2024-2025 heldout,B opponent adjusted,team_sacks,adjusted_protection_z,adjusted_protection_z,969,511,0.392477051469,0.0574211726364,0.279931553102,0.505022549837,8.19717968092e-12,True
2022-2023 exploratory,C QB only,team_sacks,qb_vulnerability_z,intercept,632,356,2.45323764832,0.0662948911565,2.32329966166,2.58317563499,9.54123300101e-300,True
2022-2023 exploratory,C QB only,team_sacks,qb_vulnerability_z,qb_vulnerability_z,632,356,0.458761693721,0.180172677566,0.105623245692,0.811900141751,0.0108892346155,True
2024-2025 heldout,C QB only,team_sacks,qb_vulnerability_z,intercept,969,511,2.36917593121,0.0546649577383,2.26203261404,2.47631924838,0,True
2024-2025 heldout,C QB only,team_sacks,qb_vulnerability_z,qb_vulnerability_z,969,511,0.30228586301,0.162807462813,-0.0168167641037,0.621388490123,0.0633527573791,True
2022-2023 exploratory,D adjusted + QB,team_sacks,adjusted_protection_z+qb_vulnerability_z,intercept,632,356,2.4705359031,0.0660380145557,2.34110139457,2.59997041163,2.60663104082e-306,True
2022-2023 exploratory,D adjusted + QB,team_sacks,adjusted_protection_z+qb_vulnerability_z,adjusted_protection_z,632,356,0.476157673468,0.0771298999096,0.324983069646,0.627332277291,6.68151778375e-10,True
2022-2023 exploratory,D adjusted + QB,team_sacks,adjusted_protection_z+qb_vulnerability_z,qb_vulnerability_z,632,356,0.538840367742,0.183214009477,0.179740909167,0.897939826318,0.00327108616587,True
2024-2025 heldout,D adjusted + QB,team_sacks,adjusted_protection_z+qb_vulnerability_z,intercept,969,511,2.38128455174,0.0539393374332,2.27556345037,2.48700565311,0,True
2024-2025 heldout,D adjusted + QB,team_sacks,adjusted_protection_z+qb_vulnerability_z,adjusted_protection_z,969,511,0.424859658556,0.0580164949248,0.311147328504,0.538571988609,2.42336222229e-13,True
2024-2025 heldout,D adjusted + QB,team_sacks,adjusted_protection_z+qb_vulnerability_z,qb_vulnerability_z,969,511,0.504364732154,0.157385349015,0.195889448085,0.812840016222,0.00135227484189,True
2022-2023 exploratory,E raw + QB,team_sacks,raw_protection_z+qb_vulnerability_z,intercept,632,356,2.46950076834,0.0658892240732,2.34035788916,2.59864364753,1.98116024595e-307,True
2022-2023 exploratory,E raw + QB,team_sacks,raw_protection_z+qb_vulnerability_z,raw_protection_z,632,356,0.492341846152,0.0790648425029,0.337374754846,0.647308937458,4.75256567015e-10,True
2022-2023 exploratory,E raw + QB,team_sacks,raw_protection_z+qb_vulnerability_z,qb_vulnerability_z,632,356,0.548844218287,0.18345117668,0.189279911994,0.90840852458,0.00277362711576,True
2024-2025 heldout,E raw + QB,team_sacks,raw_protection_z+qb_vulnerability_z,intercept,969,511,2.38149741961,0.0539105678172,2.27583270669,2.48716213254,0,True
2024-2025 heldout,E raw + QB,team_sacks,raw_protection_z+qb_vulnerability_z,raw_protection_z,969,511,0.433634058774,0.0580340607664,0.319887299672,0.547380817876,7.8948220082e-14,True
2024-2025 heldout,E raw + QB,team_sacks,raw_protection_z+qb_vulnerability_z,qb_vulnerability_z,969,511,0.506193746941,0.157014720206,0.198444895338,0.813942598544,0.00126474453033,True
2022-2023 exploratory,F adjusted + QB + rush,team_sacks,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,intercept,632,356,2.47351113929,0.0649889834188,2.34613273179,2.60088954679,5.77880275979e-317,True
2022-2023 exploratory,F adjusted + QB + rush,team_sacks,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,adjusted_protection_z,632,356,0.484594432222,0.0779042544678,0.331902093465,0.637286770979,4.95937410751e-10,True
2022-2023 exploratory,F adjusted + QB + rush,team_sacks,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,qb_vulnerability_z,632,356,0.498668289433,0.184817558121,0.136425875517,0.860910703349,0.00697228473837,True
2022-2023 exploratory,F adjusted + QB + rush,team_sacks,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,pass_rush_z,632,356,0.279912907038,0.065883501784,0.150781243542,0.409044570535,2.15106811197e-05,True
