team,season,transition_week,qb_changed,old_qb_id,old_qb_name,new_qb_id,new_qb_name,old_games,new_games,before_games,before_hit_rate,before_sack_rate,before_pass_epa_db,before_opponent_pregame_rush_rate,before_opponent_adjusted_hit_residual,before_pregame_raw_protection_rate,before_pregame_adjusted_protection_rate,after_games,after_hit_rate,after_sack_rate,after_pass_epa_db,after_opponent_pregame_rush_rate,after_opponent_adjusted_hit_residual,after_pregame_raw_protection_rate,after_pregame_adjusted_protection_rate,change_hit_rate,change_sack_rate,change_pass_epa_db,change_opponent_pregame_rush_rate,change_opponent_adjusted_hit_residual
ari,2024,12,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_09_CHI_ARI;2024_10_NYJ_ARI,2024_12_ARI_SEA;2024_13_ARI_MIN,2,0.1,0.08,0.249274788086,0.166103987448,-0.0520804237339,0.077879130267,-0.0715364170986,2,0.102040816327,0.0612244897959,0.00837344061347,0.152246612931,-0.0450468876503,0.0855308813324,-0.0635352353835,0.00204081632653,-0.0187755102041,-0.240901347473,-0.0138573745175,0.00703353608359
ari,2024,13,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_10_NYJ_ARI;2024_12_ARI_SEA,2024_13_ARI_MIN;2024_14_SEA_ARI,2,0.12676056338,0.0845070422535,0.178031421406,0.158775313404,-0.0216262953526,0.0782442748091,-0.0721682003121,2,0.0792079207921,0.029702970297,0.018712116799,0.1425469884,-0.0651382485282,0.0799373040753,-0.0681187459431,-0.0475526425882,-0.0548040719565,-0.159319304607,-0.016228325004,-0.0435119531756
ari,2025,3,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2025_01_ARI_NO;2025_02_CAR_ARI,2025_03_ARI_SF;2025_04_SEA_ARI,2,0.12,0.08,0.186090781111,0.123982360923,-0.0169507925374,0.0814420397725,-0.0581247961239,2,0.115789473684,0.0736842105263,0.0482666616724,0.143788622319,-0.0289850740497,0.0809047289356,-0.0555616949808,-0.00421052631579,-0.00631578947368,-0.137824119438,0.019806261397,-0.0120342815123
ari,2025,15,False,00-0033119,Jacoby Brissett,00-0033119,Jacoby Brissett,2025_13_ARI_TB;2025_14_LA_ARI,2025_15_ARI_HOU;2025_16_ATL_ARI,2,0.191489361702,0.0531914893617,0.0181860677824,0.133067765568,0.0516518082917,0.188753837742,0.0513649948029,2,0.101265822785,0.0506329113924,-0.00294777738738,0.157440767118,-0.0473536506421,0.188734392062,0.0507026623888,-0.0902235389173,-0.0025585779693,-0.0211338451698,0.02437300155,-0.0990054589338
ari,2025,16,False,00-0033119,Jacoby Brissett,00-0033119,Jacoby Brissett,2025_14_LA_ARI;2025_15_ARI_HOU,2025_16_ATL_ARI;2025_17_ARI_CIN,2,0.147368421053,0.0526315789474,-0.0290908938952,0.152579365079,0.00135581764458,0.194807106507,0.0581778064617,2,0.166666666667,0.0769230769231,-0.00466897076694,0.131532961073,0.027790403927,0.173859761296,0.0349587231081,0.019298245614,0.0242914979757,0.0244219231283,-0.0210464040065,0.0264345862825
ari,2025,17,False,00-0033119,Jacoby Brissett,00-0033119,Jacoby Brissett,2025_15_ARI_HOU;2025_16_ATL_ARI,2025_17_ARI_CIN;2025_18_ARI_LA,2,0.101265822785,0.0506329113924,-0.00294777738738,0.157440767118,-0.0473536506421,0.188734392062,0.0507026623888,2,0.232558139535,0.116279069767,0.00388092436074,0.130334562697,0.0935427524348,0.163744065143,0.0251932782013,0.13129231675,0.065646158375,0.00682870174812,-0.0271062044205,0.140896403077
atl,2022,3,False,00-0032268,Marcus Mariota,00-0032268,Marcus Mariota,2022_01_NO_ATL;2022_02_ATL_LA,2022_03_ATL_SEA;2022_04_CLE_ATL,2,0.0958904109589,0.041095890411,0.0800393264277,,,,,2,0.229166666667,0.0833333333333,0.21046872398,,,,,0.133276255708,0.0422374429224,0.130429397552,,
atl,2022,4,False,00-0032268,Marcus Mariota,00-0032268,Marcus Mariota,2022_02_ATL_LA;2022_03_ATL_SEA,2022_04_CLE_ATL;2022_05_ATL_TB,2,0.193548387097,0.0967741935484,0.311098152238,,,,,2,0.267857142857,0.107142857143,-0.137084433687,0.161111111111,,0.148760330579,,0.0743087557604,0.0103686635945,-0.448182585925,,
atl,2022,5,False,00-0032268,Marcus Mariota,00-0032268,Marcus Mariota,2022_03_ATL_SEA;2022_04_CLE_ATL,2022_05_ATL_TB;2022_06_SF_ATL,2,0.229166666667,0.0833333333333,0.21046872398,,,,,2,0.218181818182,0.127272727273,0.0833552513211,0.182936507937,,0.163552139812,,-0.0109848484848,0.0439393939394,-0.127113472659,,
atl,2022,6,False,00-0032268,Marcus Mariota,00-0032268,Marcus Mariota,2022_04_CLE_ATL;2022_05_ATL_TB,2022_06_SF_ATL;2022_07_ATL_CIN,2,0.267857142857,0.107142857143,-0.137084433687,0.161111111111,,0.148760330579,,2,0.175,0.125,0.208005454951,0.178078163537,,0.17439924725,,-0.0928571428571,0.0178571428571,0.345089888638,0.0169670524255,
