outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game,window
team_sack_rate,historical_pass_rush_edge_z+team_spread+home+pregame_pass_rate_last_game,historical_pass_rush_edge_z,2046,1023,0.00834479605406,0.00109385446336,0.00620084130588,0.0104887508022,2.36950371717e-14,True,2022-2025 full
team_sack_rate,historical_pass_rush_edge_z+team_spread+home+pregame_pass_rate_last_game,team_spread,2046,1023,0.0007513285301,0.000170581282925,0.000416989215568,0.00108566784463,1.06018767698e-05,True,2022-2025 full
team_sack_rate,historical_pass_rush_edge_z+team_spread+home+pregame_pass_rate_last_game,home,2046,1023,-0.00174418489432,0.00199579154502,-0.00565593632257,0.00216756653392,0.382155614741,True,2022-2025 full
team_sack_rate,historical_pass_rush_edge_z+team_spread+home+pregame_pass_rate_last_game,pregame_pass_rate_last_game,2046,1023,0.0062528421658,0.0103818728504,-0.0140956286211,0.0266013129527,0.546984708182,True,2022-2025 full
team_pass_epa_db,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,intercept,2046,1023,0.0471278874557,0.00930622671814,0.0288876830882,0.0653680918233,4.10282222035e-07,True,2022-2025 full
team_pass_epa_db,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,historical_pass_rush_edge_z,2046,1023,-0.0213889730057,0.00661790346421,-0.0343600637956,-0.00841788221591,0.00122932970949,True,2022-2025 full
team_pass_epa_db,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,team_spread,2046,1023,-0.0105740812822,0.001218396804,-0.012962139018,-0.00818602354637,4.00373150634e-18,True,2022-2025 full
team_pass_epa_db,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,home,2046,1023,-0.00985413531418,0.0126541414812,-0.0346562526174,0.0149479819891,0.436139910701,True,2022-2025 full
team_pass_epa_db,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,prior8_pass_epa_db,2046,1023,0.288652402827,0.0530647370024,0.184645518302,0.392659287352,5.33920865517e-08,True,2022-2025 full
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,intercept,2046,1023,0.454399614841,0.00304983451442,0.448421939193,0.460377290489,0,True,2022-2025 full
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,historical_pass_rush_edge_z,2046,1023,-0.0051674743209,0.00220339222666,-0.00948612308515,-0.000848825556647,0.0190150498406,True,2022-2025 full
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,team_spread,2046,1023,-0.00361787270962,0.000401874182241,-0.00440554610681,-0.00283019931243,2.20633271384e-19,True,2022-2025 full
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,home,2046,1023,0.00294822413183,0.00399917379708,-0.00489015651045,0.0107866047741,0.460995684428,True,2022-2025 full
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,prior8_pass_epa_db,2046,1023,0.10832963993,0.0171608465544,0.0746943806835,0.141964899177,2.74377780556e-10,True,2022-2025 full
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,intercept,2046,1023,0.718893324463,2.23707847659,-3.66578048964,5.10356713857,0.747942406897,True,2022-2025 full
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,historical_pass_rush_edge_z,2046,1023,-0.161466728507,0.215417887297,-0.583685787608,0.260752330595,0.453525071947,True,2022-2025 full
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,team_spread,2046,1023,-0.0323453906608,0.0338162039897,-0.0986251504807,0.033934369159,0.33881682403,True,2022-2025 full
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,closing_total,2046,1023,-0.0131727678715,0.0506851294777,-0.112515621648,0.0861700859048,0.794945435634,True,2022-2025 full
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,home,2046,1023,0.579747163427,0.403863813476,-0.211825910987,1.37132023784,0.15114420356,True,2022-2025 full
