window,group,n,games,mean_team_total_margin,median_team_total_margin,n_team_total_margin,below_implied_n,below_implied_rate,below_implied_ci_low,below_implied_ci_high,below_implied_3_n,below_implied_3_rate,below_implied_3_ci_low,below_implied_3_ci_high,below_implied_7_n,below_implied_7_rate,below_implied_7_ci_low,below_implied_7_ci_high
2022-2023 exploratory,z_1_to_1.5,76,74,-0.118421052632,-1,76,39,0.513157894737,0.402884990355,0.622164607849,31,0.407894736842,0.304436292411,0.520216520158,15,0.197368421053,0.123418792123,0.300440449174
2024-2025 validation,all,1088,544,0.656709558824,0.5,1088,512,0.470588235294,0.441084594716,0.500298844054,397,0.364889705882,0.336806164012,0.393924007837,225,0.206801470588,0.18378701098,0.231879144257
2024-2025 validation,top50_prior,545,402,0.293119266055,-0.25,545,273,0.500917431193,0.459079663676,0.542742355646,208,0.381651376147,0.341828600965,0.423130906478,116,0.212844036697,0.180550315452,0.249157636715
2024-2025 validation,top25_prior,281,232,0.356761565836,-0.5,281,145,0.516014234875,0.457761314243,0.573835194132,109,0.387900355872,0.332803875512,0.446020565862,59,0.209964412811,0.166415745406,0.261336380688
2024-2025 validation,top20_prior,231,201,0.41341991342,-0.25,231,116,0.502164502165,0.438179976889,0.566078212461,84,0.363636363636,0.30430114863,0.427432922335,43,0.186147186147,0.141235527525,0.24132701676
2024-2025 validation,top10_prior,113,107,0.398230088496,-0.25,113,57,0.504424778761,0.413620306902,0.594938288666,43,0.380530973451,0.296335004209,0.472582915436,22,0.194690265487,0.132232356003,0.277224549756
2024-2025 validation,z_ge_0.5,335,269,0.44328358209,-0.25,335,170,0.507462686567,0.454145208432,0.560610949017,130,0.388059701493,0.337425948541,0.441231689718,69,0.205970149254,0.16611443617,0.252492960324
2024-2025 validation,z_ge_1.0,161,145,0.597826086957,0.5,161,78,0.484472049689,0.408540341299,0.561127509535,59,0.366459627329,0.295949143819,0.443194373352,33,0.204968944099,0.149836949201,0.273852216641
2024-2025 validation,z_ge_1.5,80,76,0.16875,-1,80,42,0.525,0.416954511803,0.630754501383,31,0.3875,0.288243996883,0.497065443777,16,0.2,0.127027363793,0.300464477966
2024-2025 validation,z_lt_-0.5,346,288,0.928468208092,1,346,153,0.442196531792,0.390783645142,0.494878894705,118,0.341040462428,0.293078641996,0.392493342583,68,0.196531791908,0.15809004574,0.241638288454
2024-2025 validation,z_-0.5_to_0,205,186,1.20853658537,1,205,88,0.429268292683,0.363425030814,0.497713746134,72,0.351219512195,0.289156531067,0.418756068721,42,0.20487804878,0.155297304719,0.265316212894
2024-2025 validation,z_0_to_0.5,202,177,-0.0148514851485,-0.125,202,101,0.5,0.431693898174,0.568306101826,77,0.381188118812,0.317018822275,0.449792162482,46,0.227722772277,0.175289269123,0.290319237613
2024-2025 validation,z_0.5_to_1,174,153,0.300287356322,-0.5,174,92,0.528735632184,0.454746932465,0.601482881032,71,0.408045977011,0.33777161395,0.48229298286,36,0.206896551724,0.153356063785,0.273099838546
2024-2025 validation,z_1_to_1.5,81,77,1.02160493827,1,81,36,0.444444444444,0.341193756764,0.552726207027,28,0.345679012346,0.251224952426,0.454108280328,17,0.20987654321,0.1353706249,0.310655852677
2022-2025 full,all,2046,1023,0.423020527859,0,2046,1013,0.495112414467,0.473477191132,0.516765957412,774,0.378299120235,0.357531518967,0.399522879773,429,0.209677419355,0.192590353671,0.227852669829
2022-2025 full,top50_prior,979,745,0.0643513789581,-0.75,979,517,0.52808988764,0.49676960551,0.559190581767,391,0.399387129724,0.369157621967,0.430403161785,210,0.214504596527,0.18993342942,0.241307576252
2022-2025 full,top25_prior,481,415,0.233367983368,-1,481,258,0.536382536383,0.491704532912,0.580483992165,194,0.403326403326,0.360418719196,0.447766057028,93,0.193347193347,0.160539575215,0.23101428485
