window,group,n,games,mean_team_sack_rate,median_team_sack_rate,n_team_sack_rate,mean_team_sacks,median_team_sacks,n_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,n_team_pass_epa_db,mean_team_pass_epa,median_team_pass_epa,n_team_pass_epa,mean_team_pass_success_rate,median_team_pass_success_rate,n_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,n_team_explosive_pass_rate,mean_team_interceptions,median_team_interceptions,n_team_interceptions,mean_team_points,median_team_points,n_team_points,mean_team_total_margin,median_team_total_margin,n_team_total_margin,mean_ats_margin,median_ats_margin,n_ats_margin,mean_first_half_points,median_first_half_points,n_first_half_points,below_implied_n,below_implied_rate,below_implied_ci_low,below_implied_ci_high,below_implied_3_n,below_implied_3_rate,below_implied_3_ci_low,below_implied_3_ci_high,below_implied_7_n,below_implied_7_rate,below_implied_7_ci_low,below_implied_7_ci_high,ats_w,ats_l,ats_p,ats_cover_rate,su_win_rate
2024-2025 validation,spread_7_plus:edge_z_ge_1,52,45,0.0984366736625,0.0869565217391,52,3.44230769231,3,52,-0.0924812720142,-0.0450242624448,52,-3.02763500262,-1.46335569296,52,0.409495394182,0.425396825397,52,0.0723239947096,0.0690476190476,52,0.730769230769,1,52,18.5576923077,17.5,52,-0.725961538462,-0.875,52,-0.826923076923,0,52,,,0,27,0.519230769231,0.386854539705,0.648961052971,22,0.423076923077,0.298678479089,0.558059150206,14,0.269230769231,0.167688100358,0.402524787525,26,26,0,0.5,0.346153846154
2024-2025 validation,prior_pass_rate_above_median:all,545,408,0.0621850764071,0.0540540540541,545,2.4752293578,2,545,0.0525277337848,0.0667188288189,545,1.58609561749,2.36254601484,545,0.457837283723,0.457627118644,545,0.0866591518126,0.0789473684211,545,0.765137614679,1,545,22.271559633,21,545,0.50504587156,0.5,545,-0.596330275229,0,545,,,0,262,0.480733944954,0.439068229264,0.522669364971,205,0.376146788991,0.336476679363,0.417550712147,115,0.211009174312,0.178835561694,0.247228351829,271,272,2,0.499079189687,0.463235294118
2024-2025 validation,prior_pass_rate_above_median:edge_z_ge_1,78,75,0.0793891653171,0.0674242424242,78,3.07692307692,3,78,-0.0544220455934,-0.0902426965826,78,-1.82758546218,-2.79752359406,78,0.422758366502,0.420788530466,78,0.0710041209745,0.0645833333333,78,0.820512820513,1,78,19.5128205128,17.5,78,0.326923076923,-1,78,-0.858974358974,-0.5,78,,,0,40,0.512820512821,0.403925094654,0.620512355249,31,0.397435897436,0.296116952558,0.508383448216,21,0.269230769231,0.183354805516,0.376771096226,37,41,0,0.474358974359,0.346153846154
2022-2025 full,favorite:all,1023,1023,0.0565631821277,0.0512820512821,1023,2.18084066471,2,1023,0.128715657588,0.131064719577,1023,4.48528062999,4.90381554859,1023,0.48657456324,0.483870967742,1023,0.0981174550669,0.0909090909091,1023,0.658846529814,0,1023,25.2619745846,24,1023,0.704545454545,0,1023,0.563049853372,0,1023,,,0,508,0.496578690127,0.466009607111,0.527173372621,388,0.379276637341,0.350047067099,0.409409503417,199,0.194525904203,0.171430439203,0.219907036801,504,493,26,0.505516549649,0.683643486778
2022-2025 full,favorite:edge_z_ge_1,109,109,0.0704368986339,0.0666666666667,109,2.8623853211,3,109,0.0612754704241,0.0418630936809,109,2.20473679117,1.7285746492,109,0.467648465293,0.461538461538,109,0.0920345498781,0.0851063829787,109,0.577981651376,0,109,23.8073394495,23,109,0.22247706422,-1,109,-0.619266055046,-0.5,109,,,0,59,0.54128440367,0.447927857641,0.631829962171,45,0.412844036697,0.324919801993,0.506702578405,20,0.183486238532,0.122035815603,0.266487565845,50,57,2,0.467289719626,0.62037037037
2022-2025 full,underdog:all,1023,1023,0.0691398337721,0.0625,1023,2.7165200391,2,1023,-0.0159804863631,-0.00783430972197,1023,-0.794091523919,-0.331889879468,1023,0.435659984011,0.434782608696,1023,0.08378848523,0.075,1023,0.816226783969,1,1023,19.5845552297,20,1023,0.141495601173,0,1023,-0.563049853372,0,1023,,,0,505,0.493646138807,0.4630897739,0.524250045601,386,0.377321603128,0.34812923978,0.407431890583,230,0.224828934506,0.200303045861,0.251413752524,493,504,26,0.494483450351,0.316356513222
2022-2025 full,underdog:edge_z_ge_1,195,195,0.0828409591991,0.0769230769231,195,3.12307692308,3,195,-0.0500087015042,-0.0478109542497,195,-1.86994701384,-2.15218759455,195,0.418848663154,0.41935483871,195,0.0812046901082,0.075,195,0.830769230769,1,195,18.8256410256,19,195,0.630769230769,0.75,195,-0.110256410256,0,195,,,0,90,0.461538461538,0.392985447897,0.5315776214,67,0.34358974359,0.280532368958,0.412690779518,39,0.2,0.149896261765,0.261695678754,97,92,6,0.513227513228,0.314432989691
2022-2025 full,home:all,1001,1001,0.0607070890227,0.0555555555556,1001,2.4015984016,2,1001,0.0688769936041,0.0697045863296,1001,2.17607001777,2.8219903488,1001,0.468621974839,0.467741935484,1001,0.0937847996951,0.0869565217391,1001,0.712287712288,1,1001,23.5954045954,23,1001,0.772977022977,0.5,1001,0.618881118881,0,1001,,,0,480,0.47952047952,0.448709047855,0.510488501291,370,0.36963036963,0.340278444617,0.399979124337,205,0.204795204795,0.180946214624,0.230901384042,485,490,26,0.497435897436,0.547547547548
2022-2025 full,home:edge_z_ge_1,159,159,0.0769611367447,0.0731707317073,159,3.10062893082,3,159,0.0133261967086,0.0208933160317,159,0.235923519978,0.814839325237,159,0.444407450588,0.444444444444,159,0.0852447541643,0.0769230769231,159,0.679245283019,0,159,22.3081761006,22,159,1.11320754717,1.25,159,0.632075471698,0.5,159,,,0,71,0.446540880503,0.371434987225,0.524169084462,58,0.364779874214,0.293965921806,0.441973788931,27,0.169811320755,0.11940776062,0.235793858622,80,74,5,0.519480519481,0.5
2022-2025 full,away:all,1045,1023,0.0649056355538,0.0588235294118,1045,2.49377990431,2,1045,0.0443848895357,0.0493634380152,1045,1.52903384471,1.87928451167,1045,0.453928559832,0.454545454545,1045,0.0882403755301,0.08,1045,0.761722488038,1,1045,21.3004784689,20,1045,0.0877990430622,-0.5,1045,-0.592822966507,0,1045,,,0,533,0.51004784689,0.479756979606,0.540265109525,404,0.386602870813,0.357543629706,0.416492792953,224,0.214354066986,0.190542347984,0.240258260993,512,507,26,0.502453385672,0.454458293384
